PV,MV,BO,TP,MO,TP_O
1,0,1,1132,402,650
1,0,1,845,493,650
1,0,1,846,443,650
1,0,0,907,477,650
1,0,0,1046,454,650
1,0,0,1064,446,650
1,0,1,1050,505,650
1,0,0,912,461,650
1,0,0,1049,449,650
1,0,0,1055,448,650
1,0,0,1042,447,650
1,0,0,1047,446,650
1,0,1,1016,447,650
1,0,0,918,465,650
1,0,0,1052,456,650
1,0,0,1045,454,650
1,0,0,1052,453,650
1,0,1,1000,454,650
1,0,1,789,561,650
1,0,1,799,571,650
1,0,1,801,579,650
1,0,0,929,496,650
1,0,1,1023,489,650
1,0,0,901,499,650
1,0,0,1059,489,650
1,0,0,1062,486,650
1,0,0,1047,484,650
1,0,0,1058,484,650
1,0,1,1033,558,650
1,0,0,904,502,650
1,0,0,1055,493,650
1,0,0,1057,492,650
1,0,0,1048,490,650
1,0,0,1054,491,650
1,0,1,980,490,650
1,0,0,914,509,650
1,0,0,1058,500,650
1,0,0,1057,498,650
1,0,0,1052,498,650
1,0,0,1066,497,650
1,0,1,1009,588,650
1,0,0,888,516,650
1,0,0,1060,507,650
1,0,0,1052,505,650
1,0,0,1049,504,650
1,0,1,1048,503,650
1,0,1,762,520,650
1,0,1,769,622,650
1,0,1,778,619,650
1,0,1,784,605,650
1,0,1,791,550,650
1,0,1,792,561,650
1,0,1,804,565,650
1,0,1,802,570,650
1,0,1,801,574,650
1,0,1,800,641,650
1,0,1,799,586,650
1,0,1,794,590,650
1,0,1,814,597,650
1,0,1,816,603,650
1,0,1,800,609,650
1,0,0,898,616,650
1,0,0,1081,602,650
1,0,0,1065,598,650
1,0,0,1063,597,650
1,0,1,1062,597,650
1,0,1,782,613,650
1,0,1,775,619,650
1,0,1,765,626,650
1,0,1,763,632,650
1,0,1,789,736,650
1,0,1,789,666,650
1,0,1,796,653,650
1,0,1,791,656,650
1,0,1,782,746,650
1,0,1,795,666,650
1,0,1,798,681,650
1,0,1,802,680,650
1,0,1,803,684,650
1,0,1,795,690,650
1,0,1,777,694,650
1,0,0,891,701,650
1,0,0,1083,690,650
1,0,0,1069,686,650
1,0,0,1065,684,650
1,0,1,1063,779,650
1,0,1,769,699,650
1,0,1,768,791,650
1,0,1,752,709,650
1,0,1,763,716,650
1,0,1,783,721,650
1,0,1,786,746,650
1,0,1,759,731,650
1,0,1,785,801,650
1,0,1,780,829,650
1,0,1,793,754,650
1,0,1,771,756,650
1,0,1,781,762,650
1,0,1,792,768,650
1,0,1,792,775,650
1,0,0,919,779,650
1,0,0,1091,769,650
1,0,0,1063,764,650
1,0,0,1051,763,650
1,0,0,1053,762,650
1,0,0,1044,761,650
1,0,0,1054,761,650
1,0,0,1050,760,650
1,0,0,1059,760,650
1,0,0,1053,760,650
1,0,0,1056,761,650
1,0,0,1052,761,650
1,0,0,1063,761,650
1,0,0,1053,760,650
1,0,0,1058,760,650
1,0,0,1053,760,650
1,0,1,1064,761,650
1,0,1,738,771,650
1,0,1,763,782,650
1,0,1,744,786,650
1,0,1,773,796,650
1,0,0,908,800,650
1,0,0,1086,790,650
1,0,0,1070,786,650
1,0,0,1071,785,650
1,0,1,1044,784,650
1,0,1,735,796,650
1,0,1,777,867,650
1,0,1,744,810,650
1,0,1,776,906,650
1,0,1,780,821,650
1,0,1,769,828,650
1,0,1,782,838,650
