PV,MV,BO,TP,TP_O
1,0,0,986,449
1,0,1,877,450
1,0,0,797,450
1,0,0,840,450
1,0,0,629,450
1,0,0,753,450
1,0,0,794,450
1,0,1,780,450
1,0,0,747,450
1,0,0,791,450
1,0,0,791,450
1,0,0,783,450
1,0,1,772,450
1,0,1,706,450
1,0,1,708,450
1,0,1,711,450
1,0,1,710,450
1,0,1,717,450
1,0,1,712,450
1,0,1,718,450
1,0,1,723,450
1,0,1,717,450
1,0,0,760,450
1,0,1,768,450
1,0,0,730,450
1,0,0,793,450
1,0,0,792,450
1,0,0,791,450
1,0,1,782,450
1,0,1,688,450
1,0,1,698,450
1,0,1,699,450
1,0,0,742,450
1,0,1,786,450
1,0,0,730,450
1,0,0,791,450
1,0,0,789,450
1,0,0,790,450
1,0,1,775,450
1,0,1,688,450
1,0,1,693,450
1,0,1,695,450
1,0,0,743,450
1,0,1,762,450
1,0,0,725,450
1,0,0,793,450
1,0,0,787,450
1,0,0,791,450
1,0,1,754,450
1,0,1,668,450
1,0,1,673,450
1,0,1,678,450
1,0,0,732,450
1,0,1,757,450
1,0,0,717,450
1,0,0,790,450
1,0,0,789,450
1,0,0,791,450
1,0,1,794,450
1,0,1,675,450
1,0,1,675,450
1,0,1,678,450
1,0,0,733,450
1,0,1,785,450
1,0,0,709,450
1,0,0,793,450
1,0,0,790,450
1,0,0,794,450
1,0,1,779,450
1,0,1,649,450
1,0,1,662,450
1,0,1,656,450
1,0,0,727,450
1,0,1,791,450
1,0,0,707,450
1,0,0,795,450
1,0,0,794,450
1,0,0,794,450
1,0,1,757,450
1,0,1,660,450
1,0,1,656,450
1,0,1,659,450
1,0,0,720,450
1,0,1,758,450
1,0,0,710,450
1,0,0,799,450
1,0,0,794,450
1,0,0,795,450
1,0,1,796,450
1,0,1,631,450
1,0,1,647,450
1,0,1,654,450
1,0,0,724,450
1,0,1,806,450
1,0,0,712,450
1,0,0,798,450
1,0,0,793,450
1,0,0,794,450
1,0,1,747,450
1,0,1,638,450
1,0,1,638,450
1,0,0,719,450
1,0,0,809,450
1,0,0,798,450
1,0,0,789,450
1,0,0,788,450
1,0,0,783,450
1,0,0,787,450
1,0,0,783,450
1,0,1,737,450
1,0,1,618,450
1,0,1,615,450
1,0,1,635,450
1,0,1,634,450
1,0,1,622,450
1,0,1,627,450
1,0,1,640,450
1,0,1,626,450
1,0,1,626,450
1,0,1,637,450
1,0,1,633,450
1,0,1,626,450
1,0,0,708,450
1,0,0,803,450
1,0,0,803,450
1,0,1,793,450
1,0,1,619,450
1,0,1,639,450
1,0,1,627,450
1,0,1,626,450
1,0,1,654,450
1,0,1,614,450
1,0,0,684,450
1,0,0,811,450
1,0,0,803,450
1,0,1,795,450
1,0,1,613,450
1,0,1,600,450
1,0,1,625,450
1,0,1,619,450
1,0,1,631,450
1,0,1,632,450
1,0,0,703,450
1,0,0,807,450
1,0,0,803,450
1,0,1,793,450
1,0,0,688,450
1,0,0,802,450
1,0,0,799,450
1,0,0,793,450
1,0,1,796,450
1,0,1,584,450
1,0,0,686,450
1,0,0,805,450
1,0,0,799,450
1,0,1,791,450
1,0,0,687,450
1,0,0,802,450
1,0,0,797,450
1,0,0,793,450
1,0,1,797,450
1,0,1,609,450
1,0,0,692,450
1,0,0,810,450
1,0,0,803,450
1,0,1,778,450
1,0,0,678,450
1,0,0,805,450
1,0,0,802,450
1,0,0,794,450
1,0,0,797,450
1,0,1,789,450
1,0,0,677,450
1,0,0,808,450
1,0,0,803,450
1,0,0,804,450
1,0,0,798,450
1,0,1,776,450
1,0,0,681,450
1,0,0,805,450
1,0,0,803,450
1,0,0,801,450
1,0,0,800,450
1,0,0,799,450
1,0,0,801,450
1,0,0,793,450
1,0,1,776,450
1,0,1,583,450
1,0,1,603,450
1,0,1,579,450
1,0,1,591,450
1,0,1,577,450
1,0,1,593,450
1,0,1,581,450
1,0,1,598,450
1,0,1,590,450
1,0,1,600,450
1,0,1,585,450
1,0,1,587,450
1,0,1,586,450
1,0,1,604,450
1,0,1,575,450
1,0,0,690,450
1,0,0,816,450
1,0,0,808,450
1,0,0,801,450
1,0,1,797,450
1,0,1,583,450
1,0,1,573,450
1,0,1,592,450
1,0,1,580,450
1,0,1,602,450
1,0,1,597,450
1,0,1,571,450
1,0,1,600,450
1,0,1,572,450
1,0,1,566,450
1,0,1,547,450
1,0,1,563,450
1,0,1,578,450
1,0,1,588,450
1,0,1,592,450
1,0,0,677,450
1,0,0,819,450
1,0,0,807,450
1,0,0,804,450
1,0,1,801,450
1,0,1,574,450
1,0,1,587,450
1,0,1,590,450
1,0,1,572,450
1,0,1,553,450
1,0,1,578,450
1,0,1,554,450
1,0,1,550,450
1,0,1,563,450
1,0,1,567,450
1,0,1,578,450
1,0,1,537,450
1,0,1,553,450
1,0,1,578,450
1,0,1,542,450
1,0,0,658,450
1,0,0,822,450
1,0,0,809,450
1,0,0,803,450
1,0,1,801,450
1,0,1,545,450
1,0,1,574,450
1,0,1,544,450
1,0,1,543,450
1,0,1,559,450
1,0,1,536,450
1,0,1,560,450
1,0,1,579,450
1,0,1,537,450
1,0,1,568,450
1,0,1,552,450
1,0,1,529,450
1,0,1,517,450
1,0,1,524,450
1,0,1,559,450
1,0,0,666,450
1,0,0,820,450
1,0,0,811,450
1,0,0,804,450
1,0,1,802,450
1,0,1,547,450
1,0,1,560,450
1,0,1,564,450
1,0,1,553,450
1,0,1,554,450
1,0,1,519,450
1,0,1,521,450
1,0,1,538,450
1,0,1,550,450
1,0,1,546,450
1,0,1,519,450
1,0,1,552,450
1,0,1,505,450
1,0,1,551,450
1,0,1,501,450
1,0,0,659,450
1,0,0,825,450
1,0,0,807,450
1,0,0,803,450
1,0,1,802,450
1,0,1,523,450
1,0,1,514,450
1,0,1,549,450
1,0,1,505,450
1,0,0,640,450
1,0,0,824,450
1,0,0,815,450
1,0,0,810,450
1,0,0,812,450
1,0,1,784,450
1,0,1,736,450
1,0,1,730,450
1,0,1,740,450
1,0,1,738,450
1,0,0,774,450
1,0,0,825,450
1,0,0,817,450
1,0,0,814,450
1,0,0,812,450
1,0,1,813,450
1,0,1,683,450
1,0,1,688,450
1,0,1,691,450
1,0,1,693,450
1,0,1,691,450
1,0,1,699,450
1,0,1,695,450
1,0,1,695,450
1,0,1,695,450
1,0,1,696,450
1,0,1,692,450
1,0,1,695,450
1,0,1,695,450
1,0,1,693,450
1,0,1,700,450
1,0,0,753,450
1,0,0,831,450
1,0,0,817,450
1,0,0,816,450
1,0,1,764,450
1,0,1,665,450
1,0,1,674,450
1,0,1,673,450
1,0,1,673,450
1,0,1,670,450
1,0,1,683,450
1,0,1,672,450
1,0,1,676,450
1,0,1,684,450
1,0,1,681,450
1,0,1,674,450
1,0,1,680,450
1,0,1,679,450
1,0,1,676,450
1,0,1,675,450
1,0,0,752,450
1,0,0,831,450
1,0,0,825,450
1,0,0,816,450
1,0,1,819,450
1,0,1,645,450
1,0,1,654,450
1,0,1,667,450
1,0,1,662,450
1,0,1,663,450
1,0,1,653,450
1,0,1,658,450
1,0,1,669,450
1,0,1,662,450
1,0,1,664,450
1,0,1,654,450
1,0,1,670,450
1,0,1,664,450
1,0,1,657,450
1,0,1,669,450
1,0,1,658,450
1,0,1,672,450
1,0,1,666,450
1,0,1,658,450
1,0,1,680,450
1,0,1,657,450
1,0,1,638,450
1,0,1,642,450
1,0,1,660,450
1,0,1,650,450
1,0,1,644,450
1,0,1,654,450
1,0,1,653,450
1,0,1,640,450
1,0,1,648,450
