PV,MV,BO,TP,TP_O
1,0,0,785,350
1,0,1,697,350
1,0,1,603,350
1,0,1,599,350
1,0,0,398,350
1,0,0,576,350
1,0,0,624,350
1,0,1,618,350
1,0,1,563,350
1,0,1,566,350
1,0,1,571,350
1,0,1,572,350
1,0,1,573,350
1,0,1,574,350
1,0,1,571,350
1,0,1,575,350
1,0,1,575,350
1,0,1,574,350
1,0,1,575,350
1,0,1,575,350
1,0,1,574,350
1,0,1,573,350
1,0,1,562,350
1,0,1,559,350
1,0,1,559,350
1,0,1,559,350
1,0,1,561,350
1,0,1,559,350
1,0,1,561,350
1,0,1,559,350
1,0,1,561,350
1,0,1,561,350
1,0,0,600,350
1,0,1,633,350
1,0,0,596,350
1,0,0,630,350
1,0,0,626,350
1,0,0,629,350
1,0,1,614,350
1,0,1,580,350
1,0,1,583,350
1,0,1,585,350
1,0,1,587,350
1,0,1,587,350
1,0,1,590,350
1,0,1,587,350
1,0,1,587,350
1,0,1,588,350
1,0,1,592,350
1,0,1,592,350
1,0,1,589,350
1,0,1,589,350
1,0,1,589,350
1,0,1,592,350
1,0,1,574,350
1,0,1,575,350
1,0,1,573,350
1,0,1,577,350
1,0,1,579,350
1,0,1,578,350
1,0,1,578,350
1,0,1,580,350
1,0,0,607,350
1,0,1,618,350
1,0,0,610,350
1,0,0,630,350
1,0,0,628,350
1,0,0,630,350
1,0,1,620,350
1,0,1,603,350
1,0,1,601,350
1,0,1,602,350
1,0,1,606,350
1,0,1,605,350
1,0,1,622,350
1,0,1,627,350
1,0,1,623,350
1,0,1,622,350
1,0,1,625,350
1,0,1,627,350
1,0,1,623,350
1,0,1,626,350
1,0,1,626,350
1,0,1,628,350
1,0,1,628,350
1,0,1,629,350
1,0,1,629,350
1,0,1,630,350
1,0,1,619,350
1,0,1,610,350
1,0,1,614,350
1,0,1,613,350
1,0,0,628,350
1,0,1,626,350
1,0,0,617,350
1,0,0,629,350
1,0,0,628,350
1,0,0,631,350
1,0,1,626,350
1,0,1,619,350
1,0,1,625,350
1,0,0,627,350
1,0,0,630,350
1,0,0,631,350
1,0,0,630,350
1,0,1,626,350
1,0,1,619,350
1,0,1,622,350
1,0,1,622,350
1,0,1,621,350
1,0,1,624,350
1,0,1,625,350
1,0,1,622,350
1,0,1,623,350
1,0,1,625,350
1,0,1,625,350
1,0,1,626,350
1,0,1,626,350
1,0,1,627,350
1,0,1,629,350
1,0,1,620,350
