PV,MV,BO,TP,MO,TP_O
1,0,1,639,3745,550
1,0,1,659,3811,550
1,0,1,622,3747,550
1,0,1,642,3748,550
1,0,1,646,3750,550
1,0,1,655,3750,550
1,0,1,618,3752,550
1,0,1,645,3753,550
1,0,1,649,3756,550
1,0,0,797,3758,550
1,0,0,994,3756,550
1,0,0,979,3756,550
1,0,0,978,3754,550
1,0,1,978,3752,550
1,0,1,626,3756,550
1,0,1,616,3756,550
1,0,1,604,3757,550
1,0,1,600,3758,550
1,0,1,608,3759,550
1,0,1,608,3761,550
1,0,1,624,3761,550
1,0,1,641,3762,550
1,0,1,641,3832,550
1,0,1,635,3766,550
1,0,1,639,3773,550
1,0,1,633,3768,550
1,0,1,619,3770,550
1,0,1,605,3770,550
1,0,1,624,3771,550
1,0,0,789,3776,550
1,0,0,991,3772,550
1,0,0,981,3772,550
1,0,0,978,3770,550
1,0,1,976,3769,550
1,0,1,572,3770,550
1,0,1,588,3773,550
1,0,1,610,3773,550
1,0,1,630,3775,550
1,0,1,584,3775,550
1,0,1,586,3777,550
1,0,1,591,3778,550
1,0,1,608,3780,550
1,0,1,628,3781,550
1,0,1,586,3781,550
1,0,1,582,3783,550
1,0,1,592,3785,550
1,0,1,608,3785,550
1,0,1,628,3785,550
1,0,1,585,3786,550
1,0,0,781,3794,550
1,0,0,989,3790,550
1,0,0,982,3789,550
1,0,0,976,3789,550
1,0,1,977,3787,550
1,0,1,577,3786,550
1,0,1,601,3791,550
1,0,1,608,3789,550
1,0,1,588,3793,550
1,0,1,607,3792,550
1,0,1,568,3793,550
1,0,1,621,3793,550
1,0,1,570,3796,550
1,0,1,616,3802,550
1,0,1,625,3800,550
1,0,1,603,3800,550
1,0,1,607,3799,550
1,0,1,589,3802,550
1,0,1,625,3801,550
1,0,1,600,3876,550
1,0,0,737,3808,550
1,0,0,990,3806,550
1,0,0,981,3804,550
1,0,0,977,3803,550
1,0,1,977,3803,550
1,0,1,558,3803,550
1,0,1,595,3802,550
1,0,1,600,3814,550
1,0,1,553,3806,550
1,0,1,611,3809,550
1,0,1,587,3810,550
1,0,1,566,3809,550
1,0,1,596,3813,550
1,0,1,584,3814,550
1,0,1,602,3900,550
1,0,1,609,3813,550
1,0,1,567,3816,550
1,0,1,595,3816,550
1,0,1,572,3817,550
1,0,1,599,3820,550
1,0,0,768,3824,550
1,0,0,987,3823,550
1,0,0,980,3821,550
1,0,0,979,3821,550
1,0,1,976,3817,550
1,0,1,590,3817,550
1,0,1,569,3820,550
1,0,1,599,3818,550
1,0,1,571,3823,550
1,0,1,592,3822,550
1,0,1,596,3823,550
1,0,1,578,3827,550
1,0,1,588,3826,550
1,0,1,578,3829,550
1,0,1,577,3828,550
1,0,1,574,3829,550
1,0,1,584,3832,550
1,0,1,574,3831,550
1,0,1,585,3834,550
1,0,1,564,3832,550
1,0,0,758,3839,550
1,0,0,989,3836,550
1,0,0,981,3835,550
1,0,0,978,3836,550
1,0,1,974,3831,550
1,0,1,564,3834,550
1,0,1,584,3907,550
1,0,1,592,3833,550
1,0,1,597,3836,550
1,0,1,557,3837,550
1,0,1,597,3837,550
1,0,1,594,3840,550
1,0,1,577,3840,550
1,0,1,553,3840,550
1,0,1,551,3843,550
1,0,1,550,3843,550
1,0,1,534,3843,550
1,0,1,537,3845,550
1,0,1,493,2197,550
1,0,1,499,1809,550
1,0,0,684,1587,550
1,0,0,994,1570,550
1,0,0,982,1347,550
1,0,0,980,1221,550
1,0,1,980,1131,550
1,0,1,577,1060,550
1,0,1,582,993,550
1,0,1,566,943,550
1,0,1,609,890,550
1,0,1,579,843,550
1,0,1,594,794,550
1,0,1,560,755,550
1,0,1,546,716,550
1,0,1,587,676,550
1,0,1,556,641,550
1,0,1,572,603,550
1,0,1,543,575,550
1,0,1,528,545,550
1,0,1,566,515,550
1,0,1,541,487,550
1,0,0,705,465,550
1,0,0,993,439,550
1,0,0,985,416,550
1,0,0,981,392,550
1,0,1,981,369,550
1,0,1,490,346,550
1,0,1,519,337,550
1,0,1,542,311,550
1,0,1,492,297,550
1,0,1,535,279,550
1,0,1,500,266,550
1,0,1,513,261,550
1,0,1,537,240,550
1,0,1,486,227,550
1,0,1,527,214,550
1,0,1,489,204,550
1,0,1,529,193,550
1,0,1,495,184,550
1,0,1,499,177,550
1,0,1,477,166,550
1,0,0,649,163,550
1,0,0,988,155,550
1,0,0,980,147,550
1,0,0,972,139,550
1,0,1,958,126,550
1,0,1,500,205,550
1,0,1,510,115,550
1,0,1,478,111,550
1,0,1,517,104,550
1,0,1,480,101,550
1,0,1,509,182,550
1,0,1,510,91,550
1,0,1,485,86,550
1,0,1,514,81,550
1,0,1,496,79,550
1,0,1,487,77,550
1,0,1,513,71,550
1,0,1,482,70,550
1,0,1,509,65,550
1,0,0,628,69,550
1,0,0,963,69,550
1,0,0,952,65,550
1,0,0,941,62,550
1,0,0,945,60,550
1,0,0,941,57,550
1,0,0,944,54,550
1,0,0,940,53,550
1,0,0,941,51,550
1,0,0,937,49,550
1,0,1,939,42,550
1,0,1,481,110,550
1,0,1,503,36,550
