PV,MV,BO,TP,MO,TP_O
1,0,1,604,3655,350
1,0,1,562,3657,350
1,0,1,566,3656,350
1,0,1,565,3657,350
1,0,1,568,3658,350
1,0,1,552,3660,350
1,0,1,588,3658,350
1,0,1,588,3658,350
1,0,1,590,3659,350
1,0,1,587,3658,350
1,0,1,589,3659,350
1,0,1,589,3660,350
1,0,1,593,3661,350
1,0,1,592,3660,350
1,0,1,594,3661,350
1,0,1,593,3661,350
1,0,1,593,3661,350
1,0,1,593,3660,350
1,0,1,598,3662,350
1,0,1,597,3661,350
1,0,1,598,3662,350
1,0,1,576,3662,350
1,0,1,580,3663,350
1,0,1,580,3663,350
1,0,1,578,3662,350
1,0,0,611,3665,350
1,0,1,617,3670,350
1,0,0,604,3664,350
1,0,0,624,3662,350
1,0,0,626,3664,350
1,0,0,626,3662,350
1,0,1,617,3662,350
1,0,1,599,3663,350
1,0,1,603,3663,350
1,0,1,602,3663,350
1,0,1,600,3663,350
1,0,1,610,3664,350
1,0,1,627,3663,350
1,0,1,627,3664,350
1,0,1,623,3663,350
1,0,1,623,3664,350
1,0,1,628,3665,350
1,0,1,627,3664,350
1,0,1,626,3664,350
1,0,1,628,3664,350
1,0,1,631,3667,350
1,0,1,632,3666,350
1,0,1,631,3665,350
1,0,1,633,3663,350
1,0,1,634,3665,350
1,0,1,634,3664,350
1,0,1,637,3666,350
1,0,1,637,3664,350
1,0,1,636,3665,350
1,0,1,637,3665,350
1,0,0,642,3666,350
1,0,1,630,3664,350
1,0,0,618,3666,350
1,0,0,629,3665,350
1,0,0,628,3664,350
1,0,0,629,3664,350
1,0,1,628,3664,350
1,0,1,621,3665,350
1,0,1,622,3664,350
1,0,1,622,3666,350
1,0,1,627,3668,350
1,0,1,624,3666,350
1,0,1,626,3665,350
1,0,1,627,3665,350
1,0,1,630,3666,350
1,0,1,627,3666,350
1,0,1,630,3666,350
1,0,1,630,3665,350
1,0,1,630,3666,350
1,0,1,631,3666,350
1,0,0,637,3666,350
1,0,1,628,3666,350
1,0,0,626,3666,350
1,0,0,626,3665,350
1,0,0,627,3665,350
1,0,0,631,3665,350
1,0,1,627,3665,350
1,0,1,622,3666,350
1,0,1,620,3666,350
1,0,1,628,3666,350
1,0,1,623,3666,350
1,0,1,625,3667,350
1,0,1,628,3666,350
1,0,1,627,3667,350
1,0,1,627,3668,350
1,0,1,627,3668,350
1,0,1,615,3667,350
1,0,1,613,3667,350
1,0,1,614,3667,350
1,0,0,626,3668,350
1,0,0,637,3667,350
1,0,0,640,3666,350
1,0,0,631,3667,350
1,0,0,634,3667,350
1,0,0,628,3666,350
1,0,0,631,3667,350
1,0,0,627,3667,350
1,0,1,624,3666,350
1,0,1,619,3667,350
1,0,1,621,3666,350
1,0,1,621,3670,350
1,0,1,624,3667,350
1,0,1,624,3668,350
1,0,1,625,3667,350
1,0,1,628,3667,350
1,0,1,626,3667,350
1,0,1,627,3668,350
1,0,1,629,3667,350
1,0,1,630,3668,350
1,0,1,630,3669,350
1,0,0,639,3668,350
1,0,0,633,3668,350
1,0,0,635,3667,350
1,0,1,621,3668,350
1,0,1,616,3668,350
1,0,1,619,3668,350
1,0,1,620,3669,350
1,0,1,619,3667,350
1,0,1,627,3668,350
1,0,1,622,3668,350
1,0,1,625,3669,350
1,0,1,625,3668,350
1,0,1,626,3668,350
1,0,1,615,3668,350
1,0,1,611,3668,350
1,0,1,611,3669,350
1,0,1,611,3670,350
1,0,1,614,3669,350
1,0,1,616,3669,350
1,0,1,613,3672,350
1,0,0,628,3670,350
1,0,0,635,3670,350
1,0,0,639,3670,350
1,0,1,623,3669,350
1,0,1,619,3669,350
1,0,1,620,3670,350
1,0,1,624,3670,350
1,0,1,622,3669,350
1,0,1,623,3669,350
1,0,1,624,3670,350
1,0,1,627,3670,350
1,0,1,627,3670,350
1,0,1,628,3671,350
1,0,1,630,3668,350
1,0,1,632,3671,350
1,0,1,631,3671,350
1,0,1,632,3671,350
1,0,1,633,3671,350
1,0,1,628,3669,350
1,0,1,617,3672,350
1,0,0,629,3672,350
1,0,0,638,3670,350
1,0,0,636,3671,350
