PV,MV,BO,TP,TP_O
1,0,0,1107,550
1,0,1,985,550
1,0,0,905,550
1,0,0,952,550
1,0,0,831,550
1,0,0,883,550
1,0,0,911,550
1,0,1,885,550
1,0,0,857,550
1,0,0,912,550
1,0,0,909,550
1,0,0,900,550
1,0,1,866,550
1,0,1,816,550
1,0,1,808,550
1,0,1,816,550
1,0,1,823,550
1,0,1,820,550
1,0,1,781,550
1,0,1,788,550
1,0,1,798,550
1,0,1,787,550
1,0,0,857,550
1,0,1,911,550
1,0,0,841,550
1,0,0,918,550
1,0,0,914,550
1,0,0,904,550
1,0,0,905,550
1,0,1,896,550
1,0,1,775,550
1,0,1,772,550
1,0,0,845,550
1,0,0,908,550
1,0,0,910,550
1,0,1,860,550
1,0,1,769,550
1,0,1,781,550
1,0,1,776,550
1,0,1,781,550
1,0,1,790,550
1,0,1,760,550
1,0,0,834,550
1,0,0,917,550
1,0,0,912,550
1,0,1,865,550
1,0,1,747,550
1,0,1,767,550
1,0,1,767,550
1,0,1,763,550
1,0,1,776,550
1,0,1,769,550
1,0,0,832,550
1,0,0,919,550
1,0,0,917,550
1,0,1,906,550
1,0,0,828,550
1,0,0,912,550
1,0,0,910,550
1,0,0,904,550
1,0,1,909,550
1,0,1,749,550
1,0,0,833,550
1,0,0,916,550
1,0,0,911,550
1,0,1,903,550
1,0,0,829,550
1,0,0,913,550
1,0,0,912,550
1,0,0,904,550
1,0,0,907,550
1,0,1,892,550
1,0,0,829,550
1,0,0,906,550
1,0,0,911,550
1,0,0,911,550
1,0,1,915,550
1,0,1,765,550
1,0,1,754,550
1,0,1,783,550
1,0,1,766,550
1,0,1,767,550
1,0,0,798,550
1,0,0,931,550
1,0,0,930,550
1,0,0,919,550
1,0,0,920,550
1,0,1,872,550
1,0,0,800,550
1,0,0,919,550
1,0,0,919,550
1,0,0,915,550
1,0,0,918,550
1,0,1,915,550
1,0,0,795,550
1,0,0,923,550
1,0,0,919,550
1,0,0,916,550
1,0,0,917,550
1,0,1,913,550
1,0,0,802,550
1,0,0,921,550
1,0,0,916,550
1,0,0,912,550
1,0,0,899,550
1,0,0,909,550
1,0,0,897,550
1,0,0,902,550
1,0,0,903,550
1,0,0,909,550
1,0,0,898,550
1,0,1,893,550
1,0,1,731,550
1,0,1,734,550
1,0,1,706,550
1,0,1,740,550
1,0,1,712,550
1,0,1,756,550
1,0,1,722,550
1,0,1,729,550
1,0,1,756,550
1,0,1,736,550
1,0,0,830,550
1,0,0,934,550
1,0,0,923,550
1,0,0,917,550
1,0,1,915,550
1,0,1,739,550
1,0,1,711,550
1,0,1,734,550
1,0,1,758,550
1,0,1,724,550
1,0,1,669,550
1,0,1,663,550
1,0,1,693,550
1,0,1,675,550
1,0,1,693,550
1,0,1,658,550
1,0,1,684,550
1,0,1,696,550
1,0,1,664,550
1,0,1,690,550
1,0,0,794,550
1,0,0,943,550
1,0,0,927,550
1,0,0,931,550
1,0,1,917,550
1,0,1,647,550
1,0,1,677,550
1,0,1,690,550
1,0,1,664,550
1,0,1,727,550
1,0,1,672,550
1,0,1,657,550
1,0,1,666,550
1,0,1,654,550
1,0,1,680,550
1,0,1,676,550
1,0,1,645,550
1,0,1,678,550
1,0,1,646,550
