V_set,V_tp,I_in,P_in,V_out,P_out,PWM,Duty,Deadtime
0.45,0.254225,0.06299876,0.028349442000000002,1.0026366666666666,0.0020105605706888883,30000,780,250
0.45,0.2456,0.06267805666666666,0.028205125499999997,1.00132,0.0020052834848,30000,790,250
0.45,0.2418273333333333,0.06352878333333334,0.028587952500000003,1.0607966666666666,0.002250579136022222,30000,800,250
0.45,0.2396763333333333,0.06446269666666667,0.0290082135,1.0678833333333333,0.002280749627222222,30000,750,250
0.45,0.24105433333333334,0.0637475,0.028686375,1.1437733333333335,0.0026164348760888897,30000,760,250
0.45,0.237618,0.06505176,0.029273292,1.1205966666666665,0.0025114737786888883,30000,770,250
0.45,0.23852266666666666,0.06423459,0.028905565499999997,1.1330866666666666,0.002567770788355555,30000,780,250
0.45,0.238191,0.06491220999999998,0.029210494499999993,1.2102433333333333,0.0029293778517555553,30000,790,250
0.45,0.23252899999999999,0.06623525000000001,0.029805862500000006,1.2147166666666667,0.0029510731605555556,30000,800,250
0.45,0.23374133333333336,0.06557641333333332,0.029509385999999995,1.3243500000000001,0.003507805845000001,30000,810,250
0.45,0.23256166666666667,0.06675320000000001,0.030038940000000007,1.2950933333333332,0.003354533484088888,30000,820,250
0.45,0.22656066666666666,0.06822518333333334,0.030701332500000005,1.28083,0.0032810509777999996,30000,830,250
0.45,0.22980166666666665,0.06689140666666667,0.030101133000000002,1.4217733333333333,0.004042878822755555,30000,840,250
