V_set,I_in,V_out,Load,P_out
0.25,0.024329371,1.496614,12400,0.000180633
0.35,0.036556796,1.514221,6000,0.000382144
0.45,0.048991132,1.51044,6000,0.000380238
0.55,0.070326223,1.493877,4600,0.000485145
0.65,0.079252745,1.513103,3400,0.000673377
