V_set,I_in,P_in,V_out,Load,P_out
0.25,0.02374809,0.0059370225,1.503842,9580,0.00023606897296075155
0.35,0.03624321300000001,0.012685124550000003,1.5787779999999998,6400,0.0003894593708256249
0.45,0.048212599999999994,0.021695669999999997,1.504397,3400,0.0006656500981202941
0.55,0.06262304599999999,0.034442675299999996,1.510673,2500,0.0009128531651716
0.65,0.11493388000000002,0.07470702200000001,1.813538,1100,0.0029899273431309094
