Sample,Time,Current
0,2025-11-23 21:51:58.409,0.0
0,2025-11-23 21:51:58.414,0.0
0,2025-11-23 21:51:58.419,0.0
0,2025-11-23 21:51:58.424,0.0
0,2025-11-23 21:51:58.429,0.0
0,2025-11-23 21:51:58.434,0.0
0,2025-11-23 21:51:58.439,0.0
0,2025-11-23 21:51:58.444,0.0
0,2025-11-23 21:51:58.449,0.0
0,2025-11-23 21:51:58.454,0.0
0,2025-11-23 21:51:58.665,0.0
0,2025-11-23 21:51:58.669,0.0
0,2025-11-23 21:51:58.674,0.0
0,2025-11-23 21:51:58.679,0.0
0,2025-11-23 21:51:58.684,0.0
0,2025-11-23 21:51:58.689,0.0
0,2025-11-23 21:51:58.694,0.0
0,2025-11-23 21:51:58.699,0.0
0,2025-11-23 21:51:58.704,0.0
0,2025-11-23 21:51:58.709,0.0
1,2025-11-23 21:51:58.950,0.0
1,2025-11-23 21:51:58.955,0.0
1,2025-11-23 21:51:58.960,0.0
1,2025-11-23 21:51:58.965,0.0
1,2025-11-23 21:51:58.970,0.0
1,2025-11-23 21:51:58.975,0.0
1,2025-11-23 21:51:58.980,0.0
1,2025-11-23 21:51:58.985,0.0
1,2025-11-23 21:51:58.990,0.0
1,2025-11-23 21:51:58.995,0.0
2,2025-11-23 21:51:59.207,0.0
2,2025-11-23 21:51:59.212,0.0
2,2025-11-23 21:51:59.217,0.0
2,2025-11-23 21:51:59.222,0.0
2,2025-11-23 21:51:59.227,0.0
2,2025-11-23 21:51:59.232,0.0
2,2025-11-23 21:51:59.237,0.0
2,2025-11-23 21:51:59.242,0.0
2,2025-11-23 21:51:59.247,0.0
2,2025-11-23 21:51:59.252,0.0
3,2025-11-23 21:51:59.476,0.0
3,2025-11-23 21:51:59.481,0.0
3,2025-11-23 21:51:59.486,0.0
3,2025-11-23 21:51:59.491,0.0
3,2025-11-23 21:51:59.496,0.0
3,2025-11-23 21:51:59.501,0.0
3,2025-11-23 21:51:59.506,0.0
3,2025-11-23 21:51:59.511,0.0
3,2025-11-23 21:51:59.516,0.0
3,2025-11-23 21:51:59.521,0.0
4,2025-11-23 21:51:59.735,0.0
4,2025-11-23 21:51:59.740,0.0
4,2025-11-23 21:51:59.745,0.0
4,2025-11-23 21:51:59.750,0.0
4,2025-11-23 21:51:59.755,0.0
4,2025-11-23 21:51:59.760,0.0
4,2025-11-23 21:51:59.766,0.0
4,2025-11-23 21:51:59.771,0.0
4,2025-11-23 21:51:59.776,0.0
4,2025-11-23 21:51:59.805,0.0
5,2025-11-23 21:52:00.029,0.0
5,2025-11-23 21:52:00.034,0.0
5,2025-11-23 21:52:00.039,0.0
5,2025-11-23 21:52:00.044,0.0
5,2025-11-23 21:52:00.049,0.0
5,2025-11-23 21:52:00.054,0.0
5,2025-11-23 21:52:00.059,0.0
5,2025-11-23 21:52:00.064,0.0
5,2025-11-23 21:52:00.069,0.0
5,2025-11-23 21:52:00.074,0.0
6,2025-11-23 21:52:00.289,0.0
6,2025-11-23 21:52:00.294,0.0
6,2025-11-23 21:52:00.299,0.0
6,2025-11-23 21:52:00.304,0.0
