Sample,Time,Current
0,2025-11-23 21:48:08.129,0.0
0,2025-11-23 21:48:08.134,0.0
0,2025-11-23 21:48:08.139,0.0
0,2025-11-23 21:48:08.144,0.0
0,2025-11-23 21:48:08.149,0.0
0,2025-11-23 21:48:08.154,0.0
0,2025-11-23 21:48:08.159,0.0
0,2025-11-23 21:48:08.164,0.0
0,2025-11-23 21:48:08.169,0.0
0,2025-11-23 21:48:08.174,0.0
0,2025-11-23 21:48:08.384,0.0
0,2025-11-23 21:48:08.389,0.0
0,2025-11-23 21:48:08.394,0.0
0,2025-11-23 21:48:08.399,0.0
0,2025-11-23 21:48:08.404,0.0
0,2025-11-23 21:48:08.409,0.0
0,2025-11-23 21:48:08.414,0.0
0,2025-11-23 21:48:08.419,0.0
0,2025-11-23 21:48:08.424,0.0
0,2025-11-23 21:48:08.429,0.0
1,2025-11-23 21:48:08.686,0.0
1,2025-11-23 21:48:08.691,0.0
1,2025-11-23 21:48:08.696,0.0
1,2025-11-23 21:48:08.701,0.0
1,2025-11-23 21:48:08.706,0.0
1,2025-11-23 21:48:08.711,0.0
1,2025-11-23 21:48:08.716,0.0
1,2025-11-23 21:48:08.721,0.0
1,2025-11-23 21:48:08.726,0.0
1,2025-11-23 21:48:08.731,0.0
2,2025-11-23 21:48:08.963,0.0
2,2025-11-23 21:48:08.968,0.0
2,2025-11-23 21:48:08.973,0.0
2,2025-11-23 21:48:08.978,0.0
2,2025-11-23 21:48:08.983,0.0
2,2025-11-23 21:48:08.988,0.0
2,2025-11-23 21:48:08.993,0.0
2,2025-11-23 21:48:08.998,0.0
2,2025-11-23 21:48:09.003,0.0
2,2025-11-23 21:48:09.008,0.0
3,2025-11-23 21:48:09.240,0.0
3,2025-11-23 21:48:09.245,0.0
3,2025-11-23 21:48:09.250,0.0
3,2025-11-23 21:48:09.255,0.0
3,2025-11-23 21:48:09.260,0.0
3,2025-11-23 21:48:09.265,0.0
3,2025-11-23 21:48:09.270,0.0
3,2025-11-23 21:48:09.275,0.0
3,2025-11-23 21:48:09.280,0.0
3,2025-11-23 21:48:09.285,0.0
4,2025-11-23 21:48:09.498,0.0
4,2025-11-23 21:48:09.503,0.0
4,2025-11-23 21:48:09.508,0.0
4,2025-11-23 21:48:09.513,0.0
4,2025-11-23 21:48:09.518,0.0
