Time,Current
2024-11-09 10:35:03.344,0.159
2024-11-09 10:35:03.355,0.159
2024-11-09 10:35:03.372,0.159
2024-11-09 10:35:03.425,0.159
2024-11-09 10:35:03.436,0.159
2024-11-09 10:35:03.483,0.159
2024-11-09 10:35:03.513,0.159
2024-11-09 10:35:03.539,0.159
2024-11-09 10:35:03.554,0.159
2024-11-09 10:35:03.606,0.159
2024-11-09 10:35:04.039,0.167
2024-11-09 10:35:04.065,0.167
2024-11-09 10:35:04.132,0.167
2024-11-09 10:35:04.184,0.159
2024-11-09 10:35:04.231,0.159
2024-11-09 10:35:04.257,0.159
2024-11-09 10:35:04.272,0.159
2024-11-09 10:35:04.298,0.159
2024-11-09 10:35:04.355,0.159
2024-11-09 10:35:04.407,0.159
2024-11-09 10:35:06.709,0.166
2024-11-09 10:35:06.772,0.166
2024-11-09 10:35:06.803,0.166
2024-11-09 10:35:06.829,0.166
2024-11-09 10:35:06.880,0.166
2024-11-09 10:35:06.917,0.166
2024-11-09 10:35:06.969,0.167
2024-11-09 10:35:07.010,0.167
2024-11-09 10:35:07.036,0.167
2024-11-09 10:35:07.119,0.167
2024-11-09 10:35:08.228,0.159
2024-11-09 10:35:08.280,0.159
2024-11-09 10:35:08.331,0.159
2024-11-09 10:35:08.393,0.159
2024-11-09 10:35:08.435,0.159
2024-11-09 10:35:08.461,0.159
2024-11-09 10:35:08.507,0.159
2024-11-09 10:35:08.554,0.159
2024-11-09 10:35:08.585,0.159
2024-11-09 10:35:08.606,0.159
2024-11-09 10:35:09.743,0.168
2024-11-09 10:35:09.774,0.168
2024-11-09 10:35:09.821,0.168
2024-11-09 10:35:09.852,0.168
2024-11-09 10:35:09.904,0.168
2024-11-09 10:35:09.930,0.168
2024-11-09 10:35:09.983,0.168
2024-11-09 10:35:10.040,0.168
2024-11-09 10:35:10.081,0.159
2024-11-09 10:35:10.112,0.159
2024-11-09 10:35:10.929,0.159
2024-11-09 10:35:10.960,0.159
2024-11-09 10:35:10.991,0.159
2024-11-09 10:35:11.053,0.159
2024-11-09 10:35:11.095,0.159
2024-11-09 10:35:11.131,0.159
2024-11-09 10:35:11.167,0.159
2024-11-09 10:35:11.209,0.159
2024-11-09 10:35:11.260,0.159
2024-11-09 10:35:11.317,0.159
2024-11-09 10:35:12.303,0.159
2024-11-09 10:35:12.345,0.159
2024-11-09 10:35:12.371,0.159
2024-11-09 10:35:12.397,0.159
2024-11-09 10:35:12.443,0.159
2024-11-09 10:35:12.526,0.159
2024-11-09 10:35:12.562,0.166
2024-11-09 10:35:12.578,0.166
2024-11-09 10:35:12.624,0.166
2024-11-09 10:35:12.655,0.166
2024-11-09 10:35:13.454,0.159
