V_set,I_in,P_in,V_out,Load,P_out
0.25,0.026439534000000004,0.006609883500000001,0.563516,9999,3.1758204046004604e-05
0.35,0.05630745699999999,0.019707609949999996,0.951586,4999,0.0001811394109613923
0.45,0.066634446,0.0299855007,1.397823,4999,0.00039085999986577315
0.55,0.088323782,0.048578080100000004,1.501557,534,0.004222234876870787
0.65,0.11364087,0.07386656550000001,1.499445,240,0.009368063783437498
