V_set,V_tp,I_in,P_in,V_out,P_out,PWM,Duty,Deadtime
0.45,0.24242666666666665,0.06334898333333333,0.0285070425,0.9287833333333334,0.0017252769605555559,30000,750,250
0.45,0.2411323333333333,0.06396890666666667,0.028786008000000002,0.9188966666666666,0.0016887421680222218,30000,760,250
0.45,0.2383276666666667,0.06471496,0.029121732,0.9686866666666667,0.0018767077163555556,30000,770,250
0.45,0.23793233333333333,0.06479949333333333,0.029159772,0.9671966666666667,0.0018709387840222225,30000,780,250
0.45,0.235074,0.06565021,0.0295425945,1.0230033333333335,0.002093071640022223,30000,790,250
0.45,0.2310886666666667,0.06684981333333334,0.030082416000000004,1.0788733333333331,0.002327935338755555,30000,800,250
0.45,0.23228666666666667,0.06658010666666667,0.029961048,1.0863066666666665,0.0023601243480888883,30000,810,250
0.45,0.22014933333333334,0.06988905333333333,0.031450073999999995,1.0977166666666667,0.002409963760555556,30000,820,250
0.45,0.240545,0.06417286333333333,0.028877788499999998,0.91583,0.0016774891778,30000,750,250
0.45,0.24046633333333334,0.06409235333333334,0.028841559000000003,0.9160466666666668,0.0016782829910222225,30000,760,250
0.45,0.23796233333333336,0.06475655333333334,0.029140449000000006,0.9671599999999999,0.0018707969311999996,30000,770,250
0.45,0.23773866666666668,0.06481693666666667,0.029167621500000004,0.9663033333333333,0.001867484264022222,30000,780,250
0.45,0.234675,0.06572938333333334,0.0295782225,1.0207233333333334,0.002083752246422223,30000,790,250
0.45,0.23316366666666666,0.06642981666666667,0.0298934175,1.0891166666666667,0.0023723502272222224,30000,800,250
0.45,0.23210333333333333,0.06662303666666666,0.029980366499999998,1.08331,0.0023471211122,30000,810,250
