V_set,V_tp,I_in,P_in,V_out,P_out,PWM,Duty,Deadtime
0.45,0.25237033333333336,0.06333287333333333,0.028499793,0.9286133333333333,0.0017246454456888887,30000,800,250
0.45,0.24319900000000003,0.06283237333333333,0.028274568,0.9377,0.00175856258,30000,750,250
0.45,0.24092233333333332,0.06400379333333334,0.028801707000000003,0.9181066666666666,0.0016858397027555553,30000,760,250
0.45,0.23813000000000004,0.06474716333333334,0.029136223500000006,0.9676566666666666,0.0018727188490888886,30000,770,250
0.45,0.23865266666666665,0.06474313333333333,0.02913441,0.9692733333333333,0.0018789815894222222,30000,780,250
0.45,0.235521,0.06557239,0.029507575499999997,1.0241433333333332,0.0020977391344222216,30000,790,250
0.45,0.23354066666666665,0.06642445000000001,0.029891002500000007,1.09142,0.0023823952328000005,30000,800,250
0.45,0.23221699999999998,0.06665927,0.029996671500000002,1.0834166666666667,0.002347583347222222,30000,810,250
0.45,0.22594133333333333,0.06855125,0.0308480625,1.1237766666666664,0.002525747993088888,30000,820,250
0.45,0.24009899999999998,0.06416615333333334,0.028874769,0.9142466666666667,0.0016716939350222221,30000,750,250
0.45,0.24096666666666666,0.06408564666666666,0.028838541,0.9164599999999999,0.0016797978631999998,30000,760,250
