V_set,V_tp,I_in,P_in,V_out,P_out,PWM,Duty,Deadtime
0.45,0.23668733333333333,0.06822384666666666,0.030700730999999995,1.5832533333333334,0.005013382235022223,30000,800,250
0.45,0.23116633333333333,0.06631844666666666,0.029843300999999996,1.7401466666666667,0.0060562208430222225,30000,850,250
0.45,0.10035166666666666,0.09573003333333334,0.043078515000000005,0.21282,9.058470480000002e-05,30000,900,250
0.45,0.23573200000000002,0.06618829333333333,0.029784731999999998,1.2617666666666665,0.0031841102422222214,31000,800,250
0.45,0.226301,0.06888536333333334,0.030998413500000002,1.72337,0.005940008313800001,31000,850,250
0.45,0.23726366666666665,0.06559520333333334,0.029517841500000003,1.3382066666666665,0.0035815941654222215,31000,900,250
0.45,0.236205,0.06363076333333333,0.0286338435,1.4161599999999999,0.004011018291199999,32000,800,250
0.45,0.2332196666666667,0.06940599333333333,0.031232697,1.5360566666666664,0.004718940166422221,32000,850,250
0.45,0.229227,0.06652911,0.029938099500000002,1.7354666666666667,0.0060236891022222225,32000,900,250
0.45,0.10437,0.09573674333333333,0.0430815345,0.21222,9.00746568e-05,33000,800,250
0.45,0.236834,0.06590382333333333,0.0296567205,1.0782333333333332,0.0023251742422222216,30000,800,250
0.45,0.22970533333333332,0.06724297,0.0302593365,1.5619466666666666,0.004879354779022222,30000,850,250
0.45,0.23137866666666665,0.06831374666666667,0.030741186000000004,1.6065500000000001,0.005162005805000001,30000,900,250
0.45,0.24096466666666663,0.06373542333333333,0.0286809405,1.2960433333333334,0.003359456643755556,31000,800,250
0.45,0.22310766666666668,0.07038285333333334,0.031672284,1.5799199999999998,0.004992294412799999,31000,850,250
0.45,0.241001,0.06377030666666667,0.028696638,1.4860300000000002,0.004416570321800001,31000,900,250
0.45,0.13947099999999998,0.08325099333333334,0.037462947,0.8359566666666668,0.0013976470970888891,32000,800,250
0.45,0.17223666666666668,0.080829,0.03637305,0.7412233333333332,0.001098824059755555,32000,850,250
0.45,0.23581033333333334,0.06534830333333334,0.029406736500000006,1.3701333333333334,0.0037545307022222225,32000,900,250
0.45,0.22083633333333333,0.07179982333333333,0.0323099205,1.8227966666666668,0.0066451753760222235,33000,800,250
0.45,0.24326,0.06273039333333334,0.028228677000000004,1.1871866666666666,0.002818824363022222,30000,800,250
0.45,0.22867633333333334,0.06678271666666667,0.030052222500000003,1.6640066666666666,0.005537836373422222,30000,850,250
0.45,0.241722,0.06705108333333333,0.030172987499999998,1.35994,0.0036988736071999996,30000,900,250
0.45,0.184774,0.06944222666666666,0.031249001999999998,1.2854033333333335,0.0033045234586888896,31000,800,250
0.45,0.14507033333333333,0.09415604666666666,0.042370221,0.45685666666666663,0.0004174360277555555,31000,850,250
0.45,0.2359173333333333,0.06521412333333333,0.0293463555,1.2617166666666666,0.0031838578938888883,31000,900,250
0.45,0.22470733333333334,0.0688961,0.031003245000000002,1.7226466666666667,0.005935023076355556,32000,800,250
0.45,0.23944866666666664,0.06560191,0.0295208595,1.3334399999999997,0.0035561244671999987,32000,850,250
0.45,0.23317233333333331,0.06435803333333333,0.028961115,1.4167566666666669,0.00401439890508889,32000,900,250
0.45,0.23325833333333335,0.06962337333333334,0.031330518,1.5309166666666665,0.0046874116805555545,33000,800,250
0.45,0.23071966666666666,0.06663914666666666,0.029987615999999998,1.7323933333333332,0.006002373322755555,30000,800,250
0.45,0.11840066666666667,0.09597959666666667,0.0431908185,0.21227333333333331,9.011993608888887e-05,30000,850,250
0.45,0.23504866666666668,0.06563143,0.029534143500000002,1.08071,0.0023358682082000003,30000,900,250
0.45,0.22728466666666666,0.06724564666666667,0.030260541000000002,1.5621966666666667,0.004880916850688889,31000,800,250
0.45,0.23506133333333334,0.06573474666666666,0.029580636,1.6026233333333335,0.00513680309708889,31000,850,250
0.45,0.23786933333333335,0.06369114666666666,0.028661015999999997,1.40682,0.0039582850247999995,31000,900,250
0.45,0.2333253333333333,0.06942075666666667,0.0312393405,1.5338333333333332,0.004705289388888888,32000,800,250
0.45,0.230382,0.06654655333333333,0.029945949,1.7350533333333333,0.006020820139022223,32000,850,250
0.45,0.09991533333333334,0.09603729,0.0432167805,0.21272000000000002,9.049959680000002e-05,32000,900,250
0.45,0.23536933333333335,0.06618292666666668,0.02978231700000001,1.2609233333333332,0.0031798553050888883,33000,800,250
0.45,0.22481633333333337,0.06897929333333334,0.031040682000000007,1.72149,0.0059270556401999994,30000,800,250
0.45,0.23776300000000003,0.06569718000000001,0.029563731000000003,1.33556,0.0035674410272000007,30000,850,250
0.45,0.235272,0.06521412333333333,0.0293463555,1.4155266666666668,0.004007431488088889,30000,900,250
0.45,0.23326433333333332,0.06954957333333332,0.031297307999999996,1.5352266666666665,0.004713841836088888,31000,800,250
