V_set,V_tp,I_in,P_in,V_out,P_out,PWM,Duty,Deadtime
0.45,0.24235266666666666,0.06334226666666666,0.028504019999999998,0.92855,0.0017244102049999998,30000,770,250
0.45,0.24565433333333334,0.06273844666666666,0.028232300999999994,0.9374333333333333,0.0017575625088888888,30000,750,250
0.45,0.24081699999999998,0.06403465666666668,0.028815595500000006,0.91766,0.0016841997512000001,30000,760,250
0.45,0.23806833333333333,0.06474984666666667,0.029137431000000002,0.9673966666666667,0.0018717126213555558,30000,770,250
0.45,0.2386366666666667,0.06471361333333334,0.029121126,0.9695333333333332,0.0018799897688888884,30000,780,250
0.45,0.235517,0.06555360666666667,0.029499123000000002,1.0245333333333333,0.002099337102222222,30000,790,250
0.45,0.233525,0.06637346,0.029868057,1.09221,0.0023858453681999997,30000,800,250
0.45,0.23241566666666666,0.06655058333333334,0.029947762500000006,1.0856633333333334,0.0023573297466888896,30000,810,250
0.45,0.22649333333333332,0.06831240666666666,0.030740583,1.1306433333333334,0.002556708694422223,30000,820,250
0.45,0.240467,0.06416481666666667,0.0288741675,0.91534,0.0016756946312,30000,750,250
0.45,0.24039233333333332,0.06408698333333333,0.0288391425,0.9155033333333334,0.0016762927066888893,30000,760,250
0.45,0.23896833333333334,0.06471898666666666,0.029123543999999998,0.9696733333333333,0.0018805327467555553,30000,770,250
