Time,Range,Func1,Meas1
2024-07-31 22:18:37.316,xxx_range,xxx_func,2.5212
2024-07-31 22:18:38.321,xxx_range,xxx_func,2.5181
2024-07-31 22:18:39.325,xxx_range,xxx_func,2.5178
2024-07-31 22:18:40.406,xxx_range,xxx_func,2.5167
2024-07-31 22:18:41.454,xxx_range,xxx_func,2.5164
2024-07-31 22:18:42.503,xxx_range,xxx_func,2.519
2024-07-31 22:18:43.507,xxx_range,xxx_func,2.5181
2024-07-31 22:18:44.511,xxx_range,xxx_func,2.5171
2024-07-31 22:18:45.516,xxx_range,xxx_func,2.519
2024-07-31 22:18:46.520,xxx_range,xxx_func,2.5189
2024-07-31 22:18:47.534,xxx_range,xxx_func,2.5196
2024-07-31 22:18:48.537,xxx_range,xxx_func,2.5177
2024-07-31 22:18:49.540,xxx_range,xxx_func,2.5177
2024-07-31 22:18:50.544,xxx_range,xxx_func,2.5174
