Time,Range,Func1,Meas1
2024-07-31 22:26:05.757,xxx_range,xxx_func,0.0027
2024-07-31 22:26:06.763,xxx_range,xxx_func,0.003
2024-07-31 22:26:07.769,xxx_range,xxx_func,0.0033
2024-07-31 22:26:08.773,xxx_range,xxx_func,0.0038
2024-07-31 22:26:09.778,xxx_range,xxx_func,0.0042
2024-07-31 22:26:10.783,xxx_range,xxx_func,0.0047
2024-07-31 22:26:11.787,xxx_range,xxx_func,0.0052
2024-07-31 22:26:12.791,xxx_range,xxx_func,0.0059
2024-07-31 22:26:13.796,xxx_range,xxx_func,0.0066
2024-07-31 22:26:14.808,xxx_range,xxx_func,0.0072
2024-07-31 22:26:15.813,xxx_range,xxx_func,0.0079
2024-07-31 22:26:16.817,xxx_range,xxx_func,0.0086
2024-07-31 22:26:17.821,xxx_range,xxx_func,0.0092
2024-07-31 22:26:18.825,xxx_range,xxx_func,0.0099
2024-07-31 22:26:19.830,xxx_range,xxx_func,0.0105
2024-07-31 22:26:20.834,xxx_range,xxx_func,0.011
2024-07-31 22:26:21.908,xxx_range,xxx_func,0.0116
2024-07-31 22:26:22.957,xxx_range,xxx_func,0.0121
2024-07-31 22:26:24.005,xxx_range,xxx_func,0.0124
2024-07-31 22:26:25.009,xxx_range,xxx_func,0.0128
2024-07-31 22:26:26.014,xxx_range,xxx_func,0.013
2024-07-31 22:26:27.018,xxx_range,xxx_func,0.0137
2024-07-31 22:26:28.023,xxx_range,xxx_func,0.0139
2024-07-31 22:26:29.036,xxx_range,xxx_func,0.014
2024-07-31 22:26:30.040,xxx_range,xxx_func,0.0141
