Time,Range,Func1,Meas1
2024-06-04 11:38:04.899,xxx_range,xxx_func,0.0
2024-06-04 11:38:05.943,xxx_range,xxx_func,0.000261
2024-06-04 11:38:06.991,xxx_range,xxx_func,0.000212
2024-06-04 11:38:07.996,xxx_range,xxx_func,0.000222
2024-06-04 11:38:09.000,xxx_range,xxx_func,0.000252
2024-06-04 11:38:10.005,xxx_range,xxx_func,0.00023799999999999998
2024-06-04 11:38:11.009,xxx_range,xxx_func,0.000203
2024-06-04 11:38:12.022,xxx_range,xxx_func,0.00023
2024-06-04 11:38:13.026,xxx_range,xxx_func,0.00023
2024-06-04 11:38:14.030,xxx_range,xxx_func,0.000213
2024-06-04 11:38:15.034,xxx_range,xxx_func,0.00022700000000000002
2024-06-04 11:38:16.039,xxx_range,xxx_func,0.000232
2024-06-04 11:38:17.043,xxx_range,xxx_func,0.000192
2024-06-04 11:38:18.048,xxx_range,xxx_func,0.000228
2024-06-04 11:38:19.061,xxx_range,xxx_func,0.00023799999999999998
2024-06-04 11:38:20.066,xxx_range,xxx_func,0.000235
2024-06-04 11:38:21.070,xxx_range,xxx_func,0.000259
2024-06-04 11:38:22.075,xxx_range,xxx_func,0.00021799999999999999
2024-06-04 11:38:23.079,xxx_range,xxx_func,0.000229
2024-06-04 11:38:24.083,xxx_range,xxx_func,0.000225
2024-06-04 11:38:25.087,xxx_range,xxx_func,0.000242
2024-06-04 11:38:26.100,xxx_range,xxx_func,0.000251
2024-06-04 11:38:27.105,xxx_range,xxx_func,0.000249
2024-06-04 11:38:28.109,xxx_range,xxx_func,0.000236
2024-06-04 11:38:29.113,xxx_range,xxx_func,0.000232
2024-06-04 11:38:30.118,xxx_range,xxx_func,0.000235
2024-06-04 11:38:31.122,xxx_range,xxx_func,0.000244
2024-06-04 11:38:32.127,xxx_range,xxx_func,0.000253
2024-06-04 11:38:33.139,xxx_range,xxx_func,0.00023799999999999998
2024-06-04 11:38:34.143,xxx_range,xxx_func,0.000249
2024-06-04 11:38:35.147,xxx_range,xxx_func,0.00023
2024-06-04 11:38:36.151,xxx_range,xxx_func,0.00022
2024-06-04 11:38:37.155,xxx_range,xxx_func,0.00025
2024-06-04 11:38:38.159,xxx_range,xxx_func,0.00023799999999999998
2024-06-04 11:38:39.164,xxx_range,xxx_func,0.000212
2024-06-04 11:38:40.177,xxx_range,xxx_func,0.00023400000000000002
2024-06-04 11:38:41.182,xxx_range,xxx_func,0.000215
2024-06-04 11:38:42.186,xxx_range,xxx_func,0.000256
2024-06-04 11:38:43.190,xxx_range,xxx_func,0.00023300000000000003
2024-06-04 11:38:44.195,xxx_range,xxx_func,0.00023400000000000002
2024-06-04 11:38:45.198,xxx_range,xxx_func,0.00022
2024-06-04 11:38:46.203,xxx_range,xxx_func,0.000223
2024-06-04 11:38:47.216,xxx_range,xxx_func,0.000253
2024-06-04 11:38:48.220,xxx_range,xxx_func,0.00023400000000000002
2024-06-04 11:38:49.225,xxx_range,xxx_func,0.000247
2024-06-04 11:38:50.229,xxx_range,xxx_func,0.000204
2024-06-04 11:38:51.234,xxx_range,xxx_func,0.00023999999999999998
2024-06-04 11:38:52.238,xxx_range,xxx_func,0.000235
2024-06-04 11:38:53.243,xxx_range,xxx_func,0.000219
2024-06-04 11:38:54.255,xxx_range,xxx_func,0.000237
2024-06-04 11:38:55.258,xxx_range,xxx_func,0.00023899999999999998
2024-06-04 11:38:56.263,xxx_range,xxx_func,0.000231
2024-06-04 11:38:57.267,xxx_range,xxx_func,0.00023400000000000002
2024-06-04 11:38:58.272,xxx_range,xxx_func,0.000257
2024-06-04 11:38:59.276,xxx_range,xxx_func,0.000243
2024-06-04 11:39:00.280,xxx_range,xxx_func,0.00023799999999999998
2024-06-04 11:39:01.294,xxx_range,xxx_func,0.00023400000000000002
2024-06-04 11:39:02.297,xxx_range,xxx_func,0.000246
2024-06-04 11:39:03.302,xxx_range,xxx_func,0.000242
2024-06-04 11:39:04.307,xxx_range,xxx_func,0.000255
2024-06-04 11:39:05.311,xxx_range,xxx_func,0.000242
2024-06-04 11:39:06.315,xxx_range,xxx_func,0.000231
2024-06-04 11:39:07.319,xxx_range,xxx_func,0.00022700000000000002
2024-06-04 11:39:08.333,xxx_range,xxx_func,0.000219
2024-06-04 11:39:09.337,xxx_range,xxx_func,0.000253
2024-06-04 11:39:10.342,xxx_range,xxx_func,0.000259
2024-06-04 11:39:11.345,xxx_range,xxx_func,0.000247
