Time,Range,Func1,Meas1
2024-12-13 18:39:04.541,xxx_range,xxx_func,5.0
2024-12-13 18:39:05.714,xxx_range,xxx_func,2.61
2024-12-13 18:39:06.805,xxx_range,xxx_func,2.6096
2024-12-13 18:39:07.945,xxx_range,xxx_func,2.6097
2024-12-13 18:39:09.101,xxx_range,xxx_func,2.6139
2024-12-13 18:39:10.341,xxx_range,xxx_func,2.6097
2024-12-13 18:39:11.457,xxx_range,xxx_func,2.6096
2024-12-13 18:39:12.634,xxx_range,xxx_func,2.6097
2024-12-13 18:39:13.738,xxx_range,xxx_func,2.6097
2024-12-13 18:39:14.951,xxx_range,xxx_func,2.6137
2024-12-13 18:39:16.060,xxx_range,xxx_func,2.6095
2024-12-13 18:39:17.182,xxx_range,xxx_func,2.6096
2024-12-13 18:39:18.379,xxx_range,xxx_func,2.6101
2024-12-13 18:39:19.525,xxx_range,xxx_func,2.6095
2024-12-13 18:39:21.969,xxx_range,xxx_func,2.6096
2024-12-13 18:39:24.954,xxx_range,xxx_func,2.6095
2024-12-13 18:39:27.217,xxx_range,xxx_func,2.6095
2024-12-13 18:39:29.719,xxx_range,xxx_func,2.6119
2024-12-13 18:39:31.044,xxx_range,xxx_func,2.6095
2024-12-13 18:39:32.934,xxx_range,xxx_func,2.613
2024-12-13 18:39:34.274,xxx_range,xxx_func,2.6095
2024-12-13 18:39:36.188,xxx_range,xxx_func,2.6095
2024-12-13 18:39:37.654,xxx_range,xxx_func,2.6096
2024-12-13 18:39:39.238,xxx_range,xxx_func,2.6095
2024-12-13 18:39:40.629,xxx_range,xxx_func,2.6096
2024-12-13 18:39:41.846,xxx_range,xxx_func,2.6122
2024-12-13 18:39:43.591,xxx_range,xxx_func,2.6098
2024-12-13 18:39:44.729,xxx_range,xxx_func,2.6132
2024-12-13 18:39:45.863,xxx_range,xxx_func,2.6097
2024-12-13 18:39:47.166,xxx_range,xxx_func,2.6098
2024-12-13 18:39:48.480,xxx_range,xxx_func,2.6097
2024-12-13 18:39:49.848,xxx_range,xxx_func,2.6097
2024-12-13 18:39:51.130,xxx_range,xxx_func,2.6094
2024-12-13 18:39:52.689,xxx_range,xxx_func,2.6096
2024-12-13 18:39:54.097,xxx_range,xxx_func,2.6095
2024-12-13 18:39:55.348,xxx_range,xxx_func,2.6096
2024-12-13 18:39:56.875,xxx_range,xxx_func,2.6107
2024-12-13 18:39:58.302,xxx_range,xxx_func,2.6097
2024-12-13 18:39:59.451,xxx_range,xxx_func,2.6098
2024-12-13 18:40:00.617,xxx_range,xxx_func,2.6094
2024-12-13 18:40:02.280,xxx_range,xxx_func,2.6096
2024-12-13 18:40:03.494,xxx_range,xxx_func,2.6095
