V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime
0.45,0.19780720000000002,0.07692802400000001,0.034617610800000004,0.8079940000000001,0.0013057086080720003,500,20000,800,250
0.45,0.194603,0.07790058200000001,0.0350552619,0.8311719999999999,0.0013816937871679996,500,20000,810,250
0.45,0.1917068,0.078783772,0.035452697400000004,0.8591360000000001,0.0014762293329920004,500,20000,820,250
0.45,0.1885576,0.079744258,0.0358849161,0.8882680000000001,0.0015780400796480004,500,20000,830,250
0.45,0.1850454,0.080817454,0.0363678543,0.917872,0.0016849780167680001,500,20000,840,250
0.45,0.1809024,0.082055692,0.0369250614,0.94564,0.0017884700192,500,20000,850,250
0.45,0.21540660000000003,0.07155802400000001,0.03220111080000001,0.935786,0.001751390875592,500,25000,800,250
0.45,0.2118312,0.072654566,0.0326945547,0.97646,0.0019069482631999999,500,25000,810,250
0.45,0.2076378,0.07393305800000001,0.033269876100000005,1.0189879999999998,0.002076673088287999,500,25000,820,250
0.45,0.2075828,0.073951578,0.033278210100000004,1.018496,0.002074668204032,500,25000,830,250
0.45,0.20288119999999998,0.07535406199999999,0.033909327899999994,1.0638,0.0022633408800000004,500,25000,840,250
0.45,0.1974002,0.07702705,0.0346621725,1.108976,0.002459655537152,500,25000,850,250
0.45,0.2263614,0.06824263,0.0307091835,1.037224,0.0021516672523519994,500,30000,800,250
0.45,0.2264888,0.06820801,0.0306936045,1.037768,0.002153924843648,500,30000,810,250
0.45,0.221467,0.069736888,0.0313815996,1.093166,0.0023900238071120007,500,30000,820,250
0.45,0.21560759999999995,0.07150247200000001,0.032176112400000005,1.1528680000000002,0.0026582092508480007,500,30000,830,250
0.45,0.2155432,0.07153467599999999,0.0321906042,1.1525940000000001,0.0026569458576720002,500,30000,840,250
0.45,0.20855740000000003,0.073657718,0.0331459731,1.21365,0.0029458926449999995,500,30000,850,250
0.45,0.2317822,0.066607478,0.0299733651,1.1089579999999999,0.0024595756915279992,500,35000,800,250
0.45,0.2318824,0.06658170999999999,0.029961769499999995,1.10995,0.002463978005,500,35000,810,250
0.45,0.22548300000000002,0.06851797000000001,0.030833086500000006,1.179816,0.002783931587712,500,35000,820,250
0.45,0.22545120000000002,0.06853568600000001,0.030841058700000007,1.179844,0.0027840637286719993,500,35000,830,250
0.45,0.21767060000000002,0.07089945,0.0319047525,1.25437,0.0031468881938,500,35000,840,250
0.45,0.2176412,0.070906698,0.0319080141,1.2537120000000002,0.0031435875578880008,500,35000,850,250
0.45,0.2386564,0.064528714,0.029037921300000002,1.1248619999999998,0.0025306290380879993,500,40000,800,250
0.45,0.2316294,0.066658196,0.029996188200000003,1.2067160000000001,0.0029123270093120005,500,40000,810,250
0.45,0.2316204,0.06666704999999999,0.0300001725,1.206782,0.002912645591048,500,40000,820,250
0.45,0.22268540000000003,0.069378624,0.0312203808,1.294194,0.003349876219272,500,40000,830,250
0.45,0.22266820000000004,0.06938587,0.031223641500000003,1.29421,0.0033499590482000004,500,40000,840,250
0.45,0.21067840000000002,0.073016054,0.0328572243,1.3726180000000001,0.0037681603478480004,500,40000,850,250
0.45,0.24340060000000002,0.06309081400000001,0.028390866300000005,1.141126,0.002604337095752,500,45000,800,250
0.45,0.23548019999999997,0.06550449,0.0294770205,1.236824,0.003059467213952,500,45000,810,250
0.45,0.2354406,0.065510932,0.0294799194,1.23644,0.0030575677472,500,45000,820,250
0.45,0.2249332,0.06870395,0.0309167775,1.3387840000000002,0.0035846851973120007,500,45000,830,250
0.45,0.22486099999999998,0.06871361200000001,0.030921125400000003,1.3384559999999999,0.0035829289278719993,500,45000,840,250
0.45,0.22488479999999997,0.06870797399999999,0.030918588299999997,1.33859,0.0035836463761999998,500,45000,850,250
0.45,0.24376920000000002,0.06297246199999999,0.0283376079,1.1816679999999997,0.0027926785244479987,500,50000,800,250
0.45,0.2438404,0.062960388,0.028332174600000003,1.182034,0.0027944087543120004,500,50000,810,250
0.45,0.2341614,0.06588933599999999,0.029650201199999997,1.291806,0.003337525483272,500,50000,820,250
0.45,0.2341494,0.06589738199999999,0.029653821899999995,1.2918939999999999,0.003337980214471999,500,50000,830,250
0.45,0.2207128,0.06997036999999999,0.031486666499999996,1.401428,0.003928000878368,500,50000,840,250
0.45,0.22061419999999998,0.07000821200000001,0.03150369540000001,1.400316,0.003921769799711999,500,50000,850,250
0.45,0.2431006,0.063190644,0.028435789800000003,1.226574,0.003008967554952,500,55000,800,250
0.45,0.2431702,0.063175344,0.028428904799999998,1.2273680000000002,0.003012864414848001,500,55000,810,250
0.45,0.2310848,0.06682002199999999,0.0300690099,1.3535880000000002,0.0036644009474880016,500,55000,820,250
0.45,0.23101,0.066844174,0.030079878300000005,1.3536839999999999,0.0036649207437119994,500,55000,830,250
0.45,0.23099699999999998,0.06685060999999999,0.030082774499999996,1.3524040000000002,0.0036579931584320006,500,55000,840,250
0.45,0.2125604,0.07245490400000001,0.03260470680000001,1.426122,0.004067647917767999,500,55000,850,250
0.45,0.24959919999999997,0.061205272,0.0275423724,1.167126,0.0027243661997520007,500,60000,800,250
0.45,0.2386298,0.064522272,0.029035022400000002,1.3011399999999997,0.0033859305991999987,500,60000,810,250
0.45,0.23859499999999997,0.06453274,0.029039733,1.30097,0.0033850458818,500,60000,820,250
0.45,0.23864840000000004,0.064517442,0.029032848899999998,1.299834,0.003379136855112,500,60000,830,250
0.45,0.22208920000000001,0.06955252599999999,0.03129863669999999,1.424952,0.004060976404608,500,60000,840,250
0.45,0.22193940000000004,0.06959841600000001,0.031319287200000004,1.4244979999999998,0.004058389104007998,500,60000,850,250
