V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime
0.45,0.30534500000000003,0.044264402,0.0199189809,0.00031380000000000004,9.847044000000003e-11,1000,31500,840,250
0.45,0.23620239999999998,0.06524364399999999,0.029359639799999997,1.104066,0.001218961732356,1000,30000,800,250
0.45,0.2360166,0.06530321600000001,0.029386447200000006,1.102816,0.0012162031298560002,1000,30000,810,250
0.45,0.232226,0.066456118,0.029905253099999998,1.173264,0.0013765484136960002,1000,30000,820,250
0.45,0.22786499999999998,0.067797408,0.030508833600000004,1.252674,0.0015691921502760003,1000,30000,830,250
0.45,0.2278318,0.067798218,0.0305091981,1.252492,0.0015687362100639999,1000,30000,840,250
0.45,0.2227278,0.069344008,0.0312048036,1.341902,0.0018007009776039996,1000,30000,850,250
0.45,0.2374618,0.06486927,0.029191171500000005,1.095766,0.001200703126756,1000,30500,800,250
0.45,0.2337546,0.06599480199999999,0.029697660899999995,1.166858,0.001361557592164,1000,30500,810,250
0.45,0.23374259999999997,0.066015736,0.029707081200000002,1.1666880000000002,0.0013611608893440003,1000,30500,820,250
0.45,0.22944599999999998,0.06732723399999999,0.030297255299999996,1.24661,0.0015540364921,1000,30500,830,250
0.45,0.22434759999999998,0.06887141,0.030992134499999997,1.3364639999999999,0.0017861360232959997,1000,30500,840,250
0.45,0.22429580000000002,0.06887462999999999,0.030993583499999998,1.3359619999999999,0.0017847944654439995,1000,30500,850,250
0.45,0.23902859999999998,0.064408756,0.0289839402,1.0893380000000001,0.0011866572782440004,1000,31000,800,250
0.45,0.2353884,0.06552059,0.029484265500000002,1.160292,0.0013462775252640002,1000,31000,810,250
0.45,0.2353606,0.065528646,0.029487890699999998,1.160104,0.001345841290816,1000,31000,820,250
0.45,0.23114339999999997,0.06680069999999999,0.030060314999999997,1.240374,0.0015385276598760002,1000,31000,830,250
0.45,0.2261034,0.06831992199999999,0.030743964899999997,1.3312060000000003,0.0017721094144360007,1000,31000,840,250
0.45,0.22610840000000004,0.068327168,0.030747225599999997,1.331394,0.0017726099832359999,1000,31000,850,250
0.45,0.24071800000000004,0.063895912,0.0287531604,1.0832799999999998,0.0011734955583999995,1000,31500,800,250
0.45,0.237119,0.06499487000000001,0.029247691500000006,1.1543759999999998,0.0013325839493759997,1000,31500,810,250
0.45,0.2328988,0.06627738400000001,0.029824822800000005,1.2346660000000003,0.0015244001315560007,1000,31500,820,250
0.45,0.23289660000000004,0.066266114,0.029819751300000003,1.2348760000000003,0.0015249187353760007,1000,31500,830,250
0.45,0.2279256,0.067769228,0.0304961526,1.325886,0.0017579736849959997,1000,31500,840,250
0.45,0.2218184,0.069630618,0.0313337781,1.427396,0.0020374593408160006,1000,31500,850,250
0.45,0.23868039999999996,0.064512612,0.0290306754,1.146974,0.001315549356676,1000,32000,800,250
0.45,0.2387728,0.06448443,0.0290179935,1.14733,0.0013163661288999999,1000,32000,810,250
0.45,0.23458840000000003,0.065747628,0.0295864326,1.228086,0.0015081952233960002,1000,32000,820,250
0.45,0.23455659999999998,0.065768566,0.0295958547,1.227818,0.001507537041124,1000,32000,830,250
0.45,0.2296446,0.0672427,0.030259215000000002,1.3192739999999998,0.0017404838870759996,1000,32000,840,250
0.45,0.2236532,0.06906866599999999,0.031080899699999994,1.42198,0.0020220271204000003,1000,32000,850,250
