V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime
0.45,0.304856,0.044365844,0.0199646298,0.000298,8.880399999999999e-11,1000,30000,830,250
0.45,0.203716,0.075138298,0.033812234100000005,0.84572,0.0007152423184000001,1000,20000,800,250
0.45,0.20090919999999998,0.075964318,0.0341839431,0.874706,0.000765110586436,1000,20000,810,250
0.45,0.198569,0.076678442,0.0345052989,0.9093,0.00082682649,1000,20000,820,250
0.45,0.1960632,0.07744731200000002,0.03485129040000001,0.946726,0.0008962901190759998,1000,20000,830,250
0.45,0.19331979999999999,0.07828462,0.035228079,0.9868120000000001,0.0009737979233440003,1000,20000,840,250
0.45,0.19016319999999998,0.079231416,0.0356541372,1.02923,0.0010593143929,1000,20000,850,250
0.45,0.2231616,0.06923129600000001,0.031154083200000005,0.986678,0.0009735334756840001,1000,25000,800,250
0.45,0.22040120000000002,0.07008228,0.031537026,1.0370240000000002,0.0010754187765760004,1000,25000,810,250
0.45,0.21717940000000002,0.071055646,0.0319750407,1.091764,0.001191948631696,1000,25000,820,250
0.45,0.2171392,0.07106852999999999,0.0319808385,1.0913460000000001,0.0011910360917160004,1000,25000,830,250
0.45,0.213556,0.072151382,0.0324681219,1.152104,0.0013273436268159999,1000,25000,840,250
0.45,0.2094376,0.073389624,0.0330253308,1.2180600000000001,0.0014836701636000002,1000,25000,850,250
0.45,0.2359212,0.06536923800000001,0.029416157100000007,1.102004,0.001214412816016,1000,30000,800,250
0.45,0.23601340000000004,0.065341862,0.0294038379,1.102628,0.001215788506384,1000,30000,810,250
0.45,0.232261,0.06648832,0.029919744,1.1731019999999999,0.0013761683024039997,1000,30000,820,250
0.45,0.22788339999999999,0.067786136,0.0305037612,1.253194,0.0015704952016359999,1000,30000,830,250
0.45,0.22788459999999996,0.06779257999999999,0.030506660999999997,1.2527560000000002,0.0015693975955360004,1000,30000,840,250
0.45,0.2227776,0.069345618,0.0312055281,1.3423539999999998,0.0018019142613159996,1000,30000,850,250
0.45,0.2427734,0.06327356599999999,0.028473104699999995,1.186148,0.0014069470779039998,1000,35000,800,250
0.45,0.2428478,0.06325022,0.028462598999999998,1.1866679999999998,0.0014081809422239998,1000,35000,810,250
0.45,0.238168,0.06465430600000001,0.029094437700000003,1.2790560000000002,0.0016359842511360005,1000,35000,820,250
0.45,0.23817780000000002,0.06466316400000001,0.029098423800000005,1.279026,0.001635907508676,1000,35000,830,250
0.45,0.23252379999999997,0.066382858,0.029872286100000003,1.3846980000000002,0.0019173885512040005,1000,35000,840,250
0.45,0.23253680000000002,0.06639091,0.0298759095,1.3844280000000002,0.0019166408871840006,1000,35000,850,250
