V_set,I_in,V_out,Load
0.25,0.024851478000000003,1.545575,12530
0.35,0.037728617000000006,1.4722429999999997,5530
0.45,0.053379317,1.490176,5530
0.55,0.06855863199999998,1.5022429999999998,4230
0.65,0.08235760900000001,1.5591220000000001,3130
