V_set,I_in,V_out,Load
0.25,0.024329371,1.496614,12400
0.35,0.036556796,1.5142209999999998,6000
0.45,0.048991132,1.5104400000000002,6000
0.55,0.070326223,1.493877,4600
0.65,0.07925274499999999,1.5131029999999999,3400
