V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime,ADC_V_out,ADC_VCC,V_motor,ADC_Vmotor,error,V_VCC,ADC_VCC
0.35,1.839866667,0.05233792,0.018318272,0.92838,0.001723779,2000,37000,850,0,1301,1840,1.026563333,1424,0.397436667,1.839866667,1840
0.35,2.097263333,0.048379527,0.016932834,1.14361,0.002615688,2000,37000,850,1,1400,2093,1.033956667,1431,0.397043333,2.097263333,2093
0.35,1.98967,0.04953887,0.017338605,1.102373333,0.002430454,2000,37000,850,2,1424,1990,1.041836667,1438,0.396163333,1.98967,1990
0.35,1.905956667,0.05049425,0.017672987,1.069396667,0.002287218,2000,37000,850,3,1449,1909,1.05561,1451,0.39539,1.905956667,1909
0.35,1.854283333,0.051291297,0.017951954,1.048803333,0.002199977,2000,37000,850,4,1462,1857,1.06673,1462,0.39527,1.854283333,1857
0.35,1.810666667,0.05198234,0.018193819,1.031986667,0.002129993,2000,37000,850,5,1478,1813,1.049846667,1445,0.395153333,1.810666667,1813
0.35,1.848076667,0.052017227,0.018206029,0.919026667,0.00168922,2000,38000,850,0,1274,1848,1.071236667,1466,0.394763333,1.848076667,1848
0.35,2.112976667,0.04785621,0.016749674,1.134353333,0.002573515,2000,38000,850,1,1371,2121,1.025926667,1420,0.394073333,2.112976667,2121
0.35,2.000343333,0.04904105,0.017164368,1.096846667,0.002406145,2000,38000,850,2,1406,2008,1.05218,1446,0.39382,2.000343333,2008
0.35,1.921713333,0.05002998,0.017510493,1.06742,0.002278771,2000,38000,850,3,1432,1926,1.045063333,1438,0.392936667,1.921713333,1926
0.35,1.867126667,0.050855203,0.017799321,1.047716667,0.00219542,2000,38000,850,4,1452,1873,1.04574,1438,0.39226,1.867126667,1873
0.35,1.821753333,0.051566373,0.018048231,1.031386667,0.002127517,2000,38000,850,5,1467,1828,1.04552,1437,0.39148,1.821753333,1828
0.35,1.823133333,0.052390253,0.018336589,0.92642,0.001716508,2000,39000,850,0,1312,1823,1.048536667,1438,0.389463333,1.823133333,1823
0.35,2.082543333,0.048451987,0.016958195,1.15007,0.002645322,2000,39000,850,1,1418,2077,1.053683333,1443,0.389316667,2.082543333,2077
0.35,1.964843333,0.049632797,0.017371479,1.101623333,0.002427148,2000,39000,850,2,1444,1968,1.054386667,1443,0.388613333,1.964843333,1968
0.35,1.883423333,0.05055329,0.017693651,1.06673,0.002275826,2000,39000,850,3,1462,1887,1.031786667,1420,0.388213333,1.883423333,1887
0.35,1.830406667,0.05133289,0.017966511,1.045533333,0.00218628,2000,39000,850,4,1481,1835,1.0346,1422,0.3874,1.830406667,1835
0.35,1.890396667,0.052307063,0.018307472,0.931396667,0.001735,2000,30000,850,0,1271,1885,1.074403333,1461,0.386596667,1.890396667,1885
0.35,2.161266667,0.0483017,0.016905595,1.11696,0.002495199,2000,30000,850,1,1325,2158,0.92016,1306,0.38584,2.161266667,2158
0.35,2.054583333,0.04942749,0.017299621,1.087076667,0.002363471,2000,30000,850,2,1356,2061,0.92642,1312,0.38558,2.054583333,2061
0.35,1.97227,0.050407027,0.017642459,1.06309,0.002260321,2000,30000,850,3,1390,1976,1.032683333,1418,0.385316667,1.97227,1976
0.35,1.911723333,0.051252387,0.017938335,1.043916667,0.002179524,2000,30000,850,4,1410,1914,1.07077,1456,0.38523,1.911723333,1914
0.35,1.864803333,0.05201186,0.018204151,1.025926667,0.002105051,2000,30000,850,5,1420,1867,1.07564,1459,0.38336,1.864803333,1867
0.35,1.869523333,0.052508333,0.018377917,0.93835,0.001761001,2000,31000,850,0,1297,1869,1.048913333,1431,0.382086667,1.869523333,1869
0.35,2.118683333,0.04866936,0.017034276,1.12856,0.002547295,2000,31000,850,1,1369,2120,1.045053333,1427,0.381946667,2.118683333,2120
0.35,2.027636667,0.04976027,0.017416094,1.09684,0.002406116,2000,31000,850,2,1390,2033,1.05072,1432,0.38128,2.027636667,2033
0.35,1.94808,0.050694183,0.017742964,1.069273333,0.002286691,2000,31000,850,3,1412,1954,0.91341,1294,0.38059,1.94808,1954
0.35,1.895686667,0.05151404,0.018029914,1.048913333,0.002200438,2000,31000,850,4,1431,1899,1.05251,1433,0.38049,1.895686667,1899
0.35,1.85001,0.05226815,0.018293852,1.032293333,0.002131259,2000,31000,850,5,1443,1856,1.069396667,1449,0.379603333,1.85001,1856
0.35,1.895566667,0.05223192,0.018281172,0.92419,0.001708254,2000,32000,850,0,1251,1896,0.92568,1305,0.37932,1.895566667,1896
0.35,2.173766667,0.047960873,0.016786306,1.120666667,0.002511788,2000,32000,850,1,1327,2165,1.050426667,1427,0.376573333,2.173766667,2165
0.35,2.065733333,0.049097403,0.017184091,1.091693333,0.002383589,2000,32000,850,2,1352,2072,0.925653333,1300,0.374346667,2.065733333,2072
0.35,1.985023333,0.050091703,0.017532096,1.070896667,0.002293639,2000,32000,850,3,1383,1993,1.054346667,1428,0.373653333,1.985023333,1993
0.35,1.92753,0.050938397,0.017828439,1.05262,0.002216018,2000,32000,850,4,1405,1934,1.072346667,1446,0.373653333,1.92753,1934
0.35,1.877203333,0.051722023,0.018102708,1.0346,0.002140794,2000,32000,850,5,1422,1880,1.043766667,1417,0.373233333,1.877203333,1880
0.35,1.870193333,0.052396963,0.018338937,0.93236,0.00173859,2000,33000,850,0,1278,1873,0.92838,1301,0.37262,1.870193333,1873
0.35,2.12593,0.048359397,0.016925789,1.132676667,0.002565913,2000,33000,850,1,1365,2124,1.046616667,1418,0.371383333,2.12593,2124
0.35,2.015646667,0.049532157,0.017336255,1.097093333,0.002407228,2000,33000,850,2,1398,2024,1.075006667,1446,0.370993333,2.015646667,2024
0.35,1.935533333,0.05051438,0.017680033,1.06763,0.002279668,2000,33000,850,3,1421,1940,1.073633333,1444,0.370366667,1.935533333,1940
0.35,1.876656667,0.051336917,0.017967921,1.04574,0.002187144,2000,33000,850,4,1438,1881,1.065793333,1435,0.369206667,1.876656667,1881
0.35,1.829396667,0.052073587,0.018225755,1.027773333,0.002112636,2000,33000,850,5,1451,1834,0.91886,1288,0.36914,1.829396667,1834
0.35,1.875763333,0.05196624,0.018188184,0.92052,0.001694714,2000,34000,850,0,1263,1876,1.048096667,1417,0.368903333,1.875763333,1876
0.35,2.147213333,0.047763627,0.016717269,1.119333333,0.002505814,2000,34000,850,1,1336,2142,1.049916667,1417,0.367083333,2.147213333,2142
0.35,2.043213333,0.048914913,0.01712022,1.0894,0.002373585,2000,34000,850,2,1371,2046,0.928086667,1295,0.366913333,2.043213333,2046
0.35,1.963156667,0.049905183,0.017466814,1.067173333,0.002277718,2000,34000,850,3,1401,1968,1.04676,1413,0.36624,1.963156667,1968
0.35,1.911656667,0.05076127,0.017766445,1.049916667,0.00220465,2000,34000,850,4,1417,1915,1.043916667,1410,0.366083333,1.911656667,1915
0.35,1.866826667,0.051518067,0.018031323,1.033956667,0.002138133,2000,34000,850,5,1431,1869,1.045413333,1411,0.365586667,1.866826667,1869
0.35,1.858913333,0.0523339,0.018316865,0.928896667,0.001725698,2000,35000,850,0,1286,1860,0.929943333,1295,0.365056667,1.858913333,1860
0.35,2.116876667,0.04827889,0.016897612,1.13767,0.002588586,2000,35000,850,1,1373,2119,1.06742,1432,0.36458,2.116876667,2119
0.35,2.012216667,0.049435543,0.01730244,1.10131,0.002425767,2000,35000,850,2,1406,2016,0.933463333,1296,0.362536667,2.012216667,2016
0.35,1.93397,0.050419103,0.017646686,1.0718,0.00229751,2000,35000,850,3,1429,1936,0.9293,1290,0.3607,1.93397,1936
0.35,1.87946,0.05123494,0.017932229,1.05218,0.002214166,2000,35000,850,4,1446,1883,1.04511,1405,0.35989,1.87946,1883
0.35,1.83562,0.05194745,0.018181608,1.036233333,0.002147559,2000,35000,850,5,1461,1840,1.07114,1431,0.35986,1.83562,1840
0.35,1.87461,0.05211518,0.018240313,0.917876667,0.001684995,2000,36000,850,0,1257,1876,1.06319,1423,0.35981,1.87461,1876
0.35,2.15739,0.04770861,0.016698014,1.12985,0.002553122,2000,36000,850,1,1343,2149,0.917386667,1277,0.359613333,2.15739,2149
0.35,2.04171,0.048916257,0.01712069,1.097393333,0.002408544,2000,36000,850,2,1379,2047,0.91812,1277,0.35888,2.04171,2047
0.35,1.958856667,0.04992129,0.017472452,1.073316667,0.002304017,2000,36000,850,3,1407,1964,0.93835,1297,0.35865,1.958856667,1964
0.35,1.90399,0.05077335,0.017770672,1.054346667,0.002223294,2000,36000,850,4,1428,1908,1.0718,1429,0.3572,1.90399,1908
0.35,1.855456667,0.05152343,0.018033201,1.038106667,0.002155331,2000,36000,850,5,1451,1860,0.928896667,1286,0.357103333,1.855456667,1860
0.35,1.850136667,0.05244527,0.018355844,0.927383333,0.00172008,2000,37000,850,0,1278,1851,1.067,1424,0.357,1.850136667,1851
0.35,2.122096667,0.048272177,0.016895262,1.147653333,0.002634216,2000,37000,850,1,1389,2115,0.938603333,1295,0.356396667,2.122096667,2115
0.35,2.00462,0.049444937,0.017305728,1.107306667,0.002452256,2000,37000,850,2,1419,2011,1.065853333,1421,0.355146667,2.00462,2011
