V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime,ADC_V_out,ADC_VCC,V_motor,ADC_Vmotor,error,V_VCC,ADC_VCC
0.35,1.821156667,0.05243722,0.018353027,0.92016,0.001693389,500,42000,850,0,1306,1821,1.14361,1400,0.25639,1.821156667,1821
0.35,2.09283,0.048304383,0.016906534,1.15807,0.002682252,500,42000,850,1,1420,2089,1.154043333,1409,0.254956667,2.09283,2089
0.35,1.969516667,0.04950264,0.017325924,1.10705,0.002451119,500,42000,850,2,1446,1972,1.155073333,1409,0.253926667,1.969516667,1972
0.35,1.885126667,0.050432523,0.017651383,1.071236667,0.002295096,500,42000,850,3,1466,1887,1.152,1401,0.249,1.885126667,1887
0.35,1.838013333,0.0511182,0.01789137,1.051333333,0.002210604,500,42000,850,4,1482,1841,1.128476667,1377,0.248523333,1.838013333,1841
0.35,1.812116667,0.05130069,0.017955242,1.034636667,0.002140946,500,42000,850,5,1477,1818,1.14528,1393,0.24772,1.812116667,1818
0.35,1.827576667,0.052278883,0.018297609,0.91341,0.001668636,500,43000,850,0,1294,1827,1.136473333,1380,0.243526667,1.827576667,1827
0.35,2.106663333,0.04792062,0.016772217,1.152,0.002654208,500,43000,850,1,1401,2105,1.147653333,1389,0.241346667,2.106663333,2105
0.35,1.982686667,0.049165837,0.017208043,1.105993333,0.002446443,500,43000,850,2,1438,1989,1.12856,1369,0.24044,1.982686667,1989
0.35,1.898453333,0.050119877,0.017541957,1.07077,0.002293097,500,43000,850,3,1456,1900,1.137853333,1377,0.239146667,1.898453333,1900
0.35,1.843333333,0.050841783,0.017794624,1.049356667,0.002202299,500,43000,850,4,1474,1848,1.149013333,1387,0.237986667,1.843333333,1848
0.35,1.817053333,0.05106855,0.017873992,1.032676667,0.002132842,500,43000,850,5,1471,1818,1.131016667,1369,0.237983333,1.817053333,1818
0.35,1.898953333,0.052340603,0.018319211,0.930696667,0.001732393,500,30000,850,0,1258,1903,1.130933333,1368,0.237066667,1.898953333,1903
0.35,2.148366667,0.04835269,0.016923441,1.11561,0.002489171,500,30000,850,1,1332,2143,1.134353333,1371,0.236646667,2.148366667,2143
0.35,2.06063,0.049420783,0.017297274,1.087956667,0.002367299,500,30000,850,2,1354,2061,1.13767,1373,0.23533,2.06063,2061
0.35,1.98827,0.05036275,0.017626962,1.068423333,0.002283057,500,30000,850,3,1383,1993,1.129663333,1363,0.233336667,1.98827,1993
0.35,1.931916667,0.051196023,0.017918608,1.050463333,0.002206946,500,30000,850,4,1400,1935,1.133133333,1366,0.232866667,1.931916667,1935
0.35,1.883583333,0.05196892,0.018189122,1.032683333,0.00213287,500,30000,850,5,1418,1884,1.132676667,1365,0.232323333,1.883583333,1884
0.35,1.879586667,0.052566033,0.018398112,0.937576667,0.0017581,500,31000,850,0,1283,1881,1.1365,1367,0.2305,1.879586667,1881
0.35,2.124743333,0.048655943,0.01702958,1.129663333,0.002552278,500,31000,850,1,1363,2128,1.127266667,1357,0.229733333,2.124743333,2128
0.35,2.022513333,0.049771003,0.017419851,1.095413333,0.002399861,500,31000,850,2,1393,2031,1.13704,1361,0.22396,2.022513333,2031
0.35,1.94388,0.0507398,0.01775893,1.06728,0.002278173,500,31000,850,3,1411,1952,1.117396667,1341,0.223603333,1.94388,1952
0.35,1.887173333,0.051559663,0.018045882,1.045053333,0.002184273,500,31000,850,4,1427,1891,1.13144,1351,0.21956,1.887173333,1891
0.35,1.838336667,0.052301693,0.018305593,1.02697,0.002109335,500,31000,850,5,1445,1844,1.11684,1336,0.21916,1.838336667,1844
0.35,1.885413333,0.052170193,0.018259568,0.926616667,0.001717237,500,32000,850,0,1265,1886,1.137013333,1356,0.218986667,1.885413333,1886
0.35,2.149956667,0.048076273,0.016826696,1.11781,0.002498998,500,32000,850,1,1335,2143,1.116223333,1334,0.217776667,2.149956667,2143
0.35,2.038566667,0.04922085,0.017227298,1.08668,0.002361747,500,32000,850,2,1365,2045,1.11781,1335,0.21719,2.038566667,2045
0.35,1.963483333,0.050196363,0.017568727,1.063636667,0.002262646,500,32000,850,3,1395,1967,1.12826,1345,0.21674,1.963483333,1967
0.35,1.907296667,0.051024277,0.017858497,1.045413333,0.002185778,500,32000,850,4,1411,1912,1.119333333,1336,0.216666667,1.907296667,1912
0.35,1.863693333,0.05177838,0.018122433,1.029513333,0.002119795,500,32000,850,5,1427,1866,1.11561,1332,0.21639,1.863693333,1866
0.35,1.869843333,0.052413063,0.018344572,0.932523333,0.0017392,500,33000,850,0,1284,1869,1.120233333,1336,0.215766667,1.869843333,1869
0.35,2.131823333,0.048367447,0.016928606,1.133133333,0.002567982,500,33000,850,1,1366,2129,1.119596667,1333,0.213403333,2.131823333,2129
0.35,2.03166,0.04950398,0.017326393,1.09937,0.002417229,500,33000,850,2,1391,2035,1.12985,1343,0.21315,2.03166,2035
0.35,1.94961,0.050472783,0.017665474,1.072663333,0.002301213,500,33000,850,3,1417,1954,1.118806667,1328,0.209193333,1.94961,1954
0.35,1.896193333,0.05130203,0.017955711,1.05251,0.002215555,500,33000,850,4,1433,1898,1.11696,1325,0.20804,1.896193333,1898
0.35,1.850493333,0.052042723,0.018214953,1.036356667,0.00214807,500,33000,850,5,1453,1854,1.120666667,1327,0.206333333,1.850493333,1854
