Time,DMM_Meas1,PS_Vset1,PS_Vmeas1,PS_Imeas1
2025-12-29 09:39:50.244,-1.337829e-05,,3.55,0.006000000000000005
2025-12-29 09:39:51.260,-2.537261e-05,,3.55,0.006000000000000005
2025-12-29 09:39:52.275,-9.410931e-06,,3.55,0.006000000000000005
2025-12-29 09:39:53.304,-5.351314e-05,,3.55,0.006000000000000005
2025-12-29 09:39:54.318,-9.041876e-06,,3.55,0.006000000000000005
2025-12-29 09:39:55.339,-3.69056e-06,,3.55,0.006000000000000005
2025-12-29 09:39:56.354,-3.021647e-05,,3.55,0.01200000000000001
2025-12-29 09:39:57.367,-2.052875e-05,,3.55,0.01100000000000001
2025-12-29 09:39:58.381,-1.697658e-05,,3.55,0.010000000000000009
2025-12-29 09:39:59.394,1.168678e-05,,3.55,0.01200000000000001
2025-12-29 09:40:00.408,-1.38396e-05,,3.55,0.010000000000000009
2025-12-29 09:40:01.425,-4.128816e-05,,3.55,0.010000000000000009
2025-12-29 09:40:02.439,-2.837119e-05,,3.55,0.010000000000000009
2025-12-29 09:40:03.453,-2.53726e-06,,3.55,0.010000000000000009
2025-12-29 09:40:04.479,8.303763e-06,,3.55,0.010000000000000009
2025-12-29 09:40:05.493,-5.535843e-05,,3.55,0.010000000000000009
2025-12-29 09:40:06.528,-3.063166e-05,,3.55,0.010000000000000009
2025-12-29 09:40:07.539,-2.790987e-05,,3.55,0.010000000000000009
2025-12-29 09:40:08.553,-1.845281e-05,,3.55,0.010000000000000009
2025-12-29 09:40:09.573,-5.997162e-06,,3.55,0.01200000000000001
2025-12-29 09:40:10.586,-3.561392e-05,,3.55,0.010000000000000009
2025-12-29 09:40:11.600,-3.967354e-05,,3.55,0.010000000000000009
2025-12-29 09:40:12.614,-6.919804e-06,,3.55,0.010000000000000009
2025-12-29 09:40:13.628,-3.459902e-06,,3.55,0.010000000000000009
2025-12-29 09:40:14.642,-1.799149e-05,,3.55,0.010000000000000009
2025-12-29 09:40:15.656,-5.166786e-05,,3.55,0.010000000000000009
2025-12-29 09:40:16.670,-3.432222e-05,,3.55,0.010000000000000009
2025-12-29 09:40:17.685,2.060563e-05,,3.55,0.010000000000000009
2025-12-29 09:40:18.712,-2.417318e-05,,3.55,0.010000000000000009
2025-12-29 09:40:19.726,-4.843862e-05,,3.55,0.014000000000000012
2025-12-29 09:40:20.740,-4.751598e-05,,3.55,0.010000000000000009
2025-12-29 09:40:21.754,-1.076414e-05,,3.55,0.010000000000000009
2025-12-29 09:40:22.768,-3.210788e-05,,3.55,0.01200000000000001
2025-12-29 09:40:23.807,-3.998108e-05,,3.55,0.010000000000000009
2025-12-29 09:40:24.846,-3.044713e-05,,3.55,0.010000000000000009
2025-12-29 09:40:25.881,-1.383961e-05,,3.55,0.010000000000000009
2025-12-29 09:40:26.918,-3.459902e-06,,3.55,0.010000000000000009
2025-12-29 09:40:27.958,-2.306601e-05,,3.55,0.010000000000000009
2025-12-29 09:40:28.993,-3.303052e-05,,3.55,0.010000000000000009
2025-12-29 09:40:30.030,-3.506033e-05,,3.55,0.010000000000000009
2025-12-29 09:40:31.065,-1.144074e-05,,3.55,0.010000000000000009
2025-12-29 09:40:32.102,-4.244146e-05,,3.55,0.010000000000000009
2025-12-29 09:40:33.156,-3.459901e-05,,3.55,0.010000000000000009
2025-12-29 09:40:34.205,-1.882186e-05,,3.55,0.010000000000000009
2025-12-29 09:40:35.254,-1.199432e-05,,3.55,0.010000000000000009
