Time,DMM_Meas1,PS_Vset1,PS_Vmeas1,PS_Imeas1
2025-12-29 09:38:18.867,-1.550036e-05,,0.0,-0.123
2025-12-29 09:38:19.877,-2.721789e-05,,0.0,-0.123
2025-12-29 09:38:20.887,-3.621363e-05,,0.0,-0.123
2025-12-29 09:38:21.897,-1.522357e-05,,0.0,-0.123
2025-12-29 09:38:22.907,-1.130235e-05,,0.0,-0.123
2025-12-29 09:38:23.919,-5.505087e-05,,0.0,-0.123
2025-12-29 09:38:24.930,-2.306601e-05,,0.0,-0.123
2025-12-29 09:38:25.940,2.998582e-06,,0.0,-0.123
2025-12-29 09:38:26.950,-1.614621e-06,,0.0,-0.123
2025-12-29 09:38:27.959,-2.006743e-05,,0.0,-0.123
2025-12-29 09:38:28.968,-3.542939e-05,,0.0,-0.123
2025-12-29 09:38:29.978,-1.568489e-05,,0.0,-0.123
2025-12-29 09:38:30.989,-2.048262e-05,,0.0,-0.123
2025-12-29 09:38:31.998,-3.075468e-06,,0.0,-0.123
2025-12-29 09:38:33.007,-4.405608e-05,,0.0,-0.123
2025-12-29 09:38:34.017,-2.145139e-05,,0.0,-0.123
2025-12-29 09:38:35.033,-2.048262e-05,,0.0,-0.123
2025-12-29 09:38:36.042,2.460374e-06,,0.0,-0.123
2025-12-29 09:38:37.051,-2.56494e-05,,0.0,-0.123
2025-12-29 09:38:38.060,-4.636268e-05,,0.0,-0.123
2025-12-29 09:38:39.079,-2.790987e-05,,0.0,-0.123
2025-12-29 09:38:40.088,1.414715e-05,,0.0,-0.123
2025-12-29 09:38:41.097,-3.266146e-05,,0.0,-0.123
