V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime,ADC_V_out,ADC_VCC
0.35,1.9026966666666667,0.05240366999999999,0.018341284499999996,0.9288933333333332,0.001725685649422222,500,30000,850,4,1415,1890
0.35,1.8885266666666667,0.05230303333333333,0.018306061666666665,0.9315733333333333,0.0017356577507555552,500,30000,850,0,1265,1891
0.35,2.1512666666666664,0.0483017,0.016905595,1.1168399999999998,0.0024946631711999993,500,30000,850,1,1336,2140
0.35,2.0576966666666667,0.04938320999999999,0.017284123499999995,1.08809,0.0023678796962000002,500,30000,850,2,1361,2063
0.35,1.97321,0.05034665,0.0176213275,1.0651633333333332,0.0022691458533555552,500,30000,850,3,1388,1982
0.35,1.9152333333333333,0.05120542,0.017921897,1.04511,0.0021845098242,500,30000,850,4,1405,1919
0.35,1.86247,0.05197562666666666,0.01819146933333333,1.0265633333333335,0.00210766455468889,500,30000,850,5,1424,1868
0.35,1.8678933333333332,0.05250431,0.0183765085,0.9386033333333333,0.0017619524346888888,500,31000,850,0,1295,1869
0.35,2.11739,0.04866802,0.017033806999999998,1.1284766666666668,0.0025469191744222227,500,31000,850,1,1377,2110
0.35,2.0120299999999998,0.049791126666666664,0.01742689433333333,1.0930633333333333,0.002389574901355555,500,31000,850,2,1399,2017
0.35,1.9322466666666667,0.050757246666666665,0.01776503633333333,1.0631899999999999,0.002260745952199999,500,31000,850,3,1423,1935
0.35,1.8753733333333333,0.05157307999999999,0.018050577999999998,1.0418366666666665,0.0021708472800222216,500,31000,850,4,1438,1880
0.35,1.8288366666666667,0.05231511,0.018310288499999997,1.0232833333333333,0.0020942175605555553,500,31000,850,5,1454,1831
0.35,1.8769866666666666,0.05209773666666667,0.018234207833333335,0.9275133333333333,0.001720561967022222,500,32000,850,0,1269,1876
0.35,2.137026666666667,0.04804943666666667,0.016817302833333332,1.1173966666666668,0.0024971506213555565,500,32000,850,1,1341,2137
0.35,2.0400233333333335,0.04920475333333333,0.017221663666666664,1.0869199999999999,0.0023627901727999996,500,32000,850,2,1369,2041
0.35,1.9574600000000002,0.050164160000000006,0.017557456000000003,1.0632233333333334,0.002260887713088889,500,32000,850,3,1396,1962
0.35,1.9030233333333335,0.05100683,0.0178523905,1.0437666666666665,0.002178897708888888,500,32000,850,4,1417,1905
0.35,1.8517433333333333,0.05176361666666667,0.018117265833333333,1.0261666666666667,0.0021060360555555557,500,32000,850,5,1432,1855
0.35,1.8596733333333333,0.05230974333333333,0.018308410166666664,0.9334633333333334,0.001742707589355556,500,33000,850,0,1296,1859
0.35,2.11714,0.04840233666666668,0.016940817833333337,1.1310166666666666,0.0025583974005555553,500,33000,850,1,1369,2112
0.35,2.0153166666666666,0.04952813666666667,0.017334847833333333,1.0968099999999998,0.0024059843521999995,500,33000,850,2,1400,2019
0.35,1.9357633333333333,0.05051169333333333,0.017679092666666663,1.067,0.002276978,500,33000,850,3,1424,1936
0.35,1.8747166666666668,0.05132618333333333,0.017964164166666664,1.0450633333333332,0.002184314741355555,500,33000,850,4,1438,1879
0.35,1.82549,0.05206419,0.0182224665,1.0262433333333334,0.0021063507584222225,500,33000,850,5,1455,1830
0.35,1.8759366666666668,0.05196221333333333,0.018186774666666666,0.9202333333333333,0.0016936587755555558,500,34000,850,0,1262,1875
0.35,2.1515766666666667,0.04771934666666666,0.01670177133333333,1.1202333333333332,0.002509845442222221,500,34000,850,1,1336,2143
0.35,2.043153333333333,0.048882709999999996,0.0171089485,1.08946,0.0023738461832000005,500,34000,850,2,1367,2050
0.35,1.9590133333333333,0.04989579666666666,0.01746352883333333,1.06604,0.0022728825632000005,500,34000,850,3,1399,1967
0.35,1.9026333333333334,0.05073577666666667,0.017757521833333335,1.0466166666666668,0.0021908128938888894,500,34000,850,4,1418,1906
0.35,1.85197,0.05150867333333333,0.018028035666666664,1.0295800000000002,0.002120069952800001,500,34000,850,5,1439,1859
0.35,1.8508266666666666,0.05227888,0.018297608,0.9299433333333332,0.0017295892064222219,500,35000,850,0,1295,1852
0.35,2.1132833333333334,0.04828559333333333,0.016899957666666663,1.1364733333333332,0.002583143274755555,500,35000,850,1,1380,2106
0.35,2.0013533333333333,0.049452986666666664,0.01730854533333333,1.0983666666666667,0.0024128186688888893,500,35000,850,2,1410,2008
0.35,1.9182333333333332,0.05043655,0.017652792499999997,1.0657933333333334,0.0022718308587555557,500,35000,850,3,1435,1921
0.35,1.8619833333333335,0.051237623333333336,0.017933168166666666,1.0449266666666666,0.002183743477422222,500,35000,850,4,1449,1867
0.35,1.8163166666666666,0.051976970000000004,0.0181919395,1.0281266666666666,0.002114088885422222,500,35000,850,5,1464,1820
0.35,1.8623199999999998,0.05200246666666667,0.018200863333333334,0.9199033333333334,0.001692444285355556,500,36000,850,0,1271,1861
0.35,2.1309000000000005,0.04779448666666666,0.01672807033333333,1.1272666666666666,0.0025414602755555555,500,36000,850,1,1357,2129
0.35,2.0204,0.04896187999999999,0.017136657999999996,1.0939166666666666,0.0023933073472222222,500,36000,850,2,1388,2027
0.35,1.94267,0.049962883333333326,0.017487009166666664,1.0679733333333334,0.0022811340814222225,500,36000,850,3,1415,1946
0.35,1.8900499999999998,0.05079884666666667,0.01777959633333333,1.048536666666667,0.0021988582826888902,500,36000,850,4,1438,1893
0.35,1.83894,0.051554296666666666,0.018044003833333332,1.03154,0.0021281495432,500,36000,850,5,1450,1842
0.35,1.8398666666666665,0.05233792,0.018318272,0.9283800000000001,0.0017237788488000004,500,37000,850,0,1301,1840
0.35,2.097263333333333,0.048379526666666665,0.01693283433333333,1.14361,0.0026156876642000003,500,37000,850,1,1400,2093
0.35,1.98967,0.049538870000000006,0.0173386045,1.1023733333333334,0.002430453932088889,500,37000,850,2,1424,1990
0.35,1.9059566666666665,0.05049425,0.017672987499999997,1.0693966666666668,0.0022872184613555563,500,37000,850,3,1449,1909
0.35,1.8542833333333333,0.05129129666666667,0.017951953833333336,1.0488033333333333,0.002199976864022222,500,37000,850,4,1462,1857
0.35,1.8106666666666669,0.051982339999999995,0.018193818999999996,1.0319866666666666,0.0021299929603555553,500,37000,850,5,1478,1813
0.35,1.8480766666666666,0.052017226666666666,0.01820602933333333,0.9190266666666668,0.0016892200280888892,500,38000,850,0,1274,1848
0.35,2.1129766666666665,0.04785621,0.0167496735,1.1343533333333333,0.002573514969688889,500,38000,850,1,1371,2121
0.35,2.0003433333333334,0.04904105,0.0171643675,1.0968466666666667,0.002406145220355556,500,38000,850,2,1406,2008
0.35,1.9217133333333336,0.05002998,0.017510493,1.06742,0.0022787709128000004,500,38000,850,3,1432,1926
0.35,1.8671266666666666,0.05085520333333334,0.01779932116666667,1.0477166666666669,0.002195420427222223,500,38000,850,4,1452,1873
0.35,1.8217533333333336,0.05156637333333333,0.018048230666666665,1.031386666666667,0.0021275169123555564,500,38000,850,5,1467,1828
0.35,1.8231333333333335,0.05239025333333334,0.018336588666666667,0.9264199999999999,0.0017165080327999997,500,39000,850,0,1312,1823
0.35,2.082543333333333,0.04845198666666667,0.016958195333333332,1.1500700000000001,0.0026453220098000005,500,39000,850,1,1418,2077
0.35,1.9648433333333333,0.049632796666666666,0.017371478833333332,1.1016233333333334,0.0024271479370888893,500,39000,850,2,1444,1968
0.35,1.8834233333333332,0.05055329,0.017693651499999997,1.06673,0.0022758257858,500,39000,850,3,1462,1887
0.35,1.8304066666666667,0.05133289,0.017966511499999997,1.0455333333333332,0.0021862799022222216,500,39000,850,4,1481,1835
0.35,1.8903966666666667,0.05230706333333333,0.018307472166666665,0.9313966666666668,0.001734999501355556,500,30000,850,0,1271,1885
0.35,2.1612666666666667,0.0483017,0.016905595,1.11696,0.0024951992832,500,30000,850,1,1325,2158
0.35,2.0545833333333334,0.04942749,0.017299621499999997,1.0870766666666667,0.0023634713584222223,500,30000,850,2,1356,2061
0.35,1.97227,0.05040702666666667,0.017642459333333332,1.06309,0.0022603206962000006,500,30000,850,3,1390,1976
0.35,1.9117233333333334,0.05125238666666667,0.017938335333333333,1.0439166666666668,0.0021795240138888896,500,30000,850,4,1410,1914
0.35,1.8648033333333334,0.05201186,0.018204151,1.0259266666666667,0.0021050510507555553,500,30000,850,5,1420,1867
0.35,1.8695233333333334,0.05250833333333333,0.018377916666666664,0.9383500000000001,0.0017610014450000005,500,31000,850,0,1297,1869
0.35,2.1186833333333333,0.048669359999999995,0.017034275999999998,1.12856,0.0025472953472,500,31000,850,1,1369,2120
0.35,2.0276366666666665,0.049760269999999995,0.017416094499999996,1.09684,0.0024061159712,500,31000,850,2,1390,2033
0.35,1.94808,0.05069418333333333,0.017742964166666663,1.0692733333333333,0.002286690922755555,500,31000,850,3,1412,1954
0.35,1.8956866666666665,0.051514040000000004,0.018029914,1.0489133333333334,0.002200438361688889,500,31000,850,4,1431,1899
0.35,1.85001,0.05226814999999999,0.018293852499999996,1.0322933333333333,0.0021312590520888887,500,31000,850,5,1443,1856
0.35,1.8955666666666666,0.05223192000000001,0.018281172000000002,0.92419,0.0017082543121999998,500,32000,850,0,1251,1896
0.35,2.173766666666667,0.04796087333333333,0.016786305666666664,1.1206666666666667,0.0025117875555555557,500,32000,850,1,1327,2165
0.35,2.0657333333333336,0.04909740333333334,0.01718409116666667,1.0916933333333334,0.002383588668088889,500,32000,850,2,1352,2072
0.35,1.9850233333333334,0.05009170333333333,0.017532096166666664,1.0708966666666664,0.002293639341355554,500,32000,850,3,1383,1993
0.35,1.92753,0.05093839666666666,0.01782843883333333,1.0526200000000001,0.0022160177288,500,32000,850,4,1405,1934
0.35,1.8772033333333333,0.05172202333333333,0.018102708166666665,1.0346,0.0021407943199999997,500,32000,850,5,1422,1880
0.35,1.8701933333333332,0.05239696333333333,0.018338937166666666,0.9323600000000001,0.0017385903392000005,500,33000,850,0,1278,1873
0.35,2.12593,0.048359396666666665,0.01692578883333333,1.1326766666666668,0.0025659128624222227,500,33000,850,1,1365,2124
0.35,2.0156466666666666,0.04953215666666667,0.017336254833333332,1.0970933333333333,0.0024072275640888885,500,33000,850,2,1398,2024
0.35,1.935533333333333,0.05051438,0.017680032999999998,1.06763,0.0022796676338000003,500,33000,850,3,1421,1940
0.35,1.8766566666666666,0.05133691666666667,0.017967920833333335,1.04574,0.0021871442951999997,500,33000,850,4,1438,1881
0.35,1.8293966666666666,0.05207358666666667,0.018225755333333333,1.0277733333333332,0.0021126360494222217,500,33000,850,5,1451,1834
0.35,1.8757633333333334,0.05196624,0.018188183999999996,0.9205199999999999,0.0016947141407999996,500,34000,850,0,1263,1876
