V_set,I_in,P_in,V_out,Load,P_out
0.25,0.025650135,0.00641253375,1.4906879999999998,9500,0.00023391060140463151
0.35,0.039065885,0.01367305975,1.5782909999999999,4500,0.0005535561068179999
0.45,0.052077473000000006,0.02343486285,1.48906,4500,0.0004927332630222222
0.55,0.07662530600000002,0.04214391830000001,1.53024,4300,0.0005445661529302326
0.65,0.12035098,0.078228137,1.8263570000000002,1300,0.002565830685730001
