ID,fifo,data,timestamp
DATA,AFE_FIFO[0],14680012,2024-02-20 22:47:57.616
DATA,AFE_FIFO[1],14680042,2024-02-20 22:47:57.617
DATA,AFE_FIFO[2],14680016,2024-02-20 22:47:57.617
DATA,AFE_FIFO[3],14680127,2024-02-20 22:47:57.618
DATA,AFE_FIFO[4],14680014,2024-02-20 22:47:57.618
DATA,AFE_FIFO[5],14680014,2024-02-20 22:47:57.619
DATA,AFE_FIFO[6],14679980,2024-02-20 22:47:57.619
DATA,AFE_FIFO[7],14680140,2024-02-20 22:47:57.620
DATA,AFE_FIFO[0],14680652,2024-02-20 22:47:57.936
DATA,AFE_FIFO[1],14680855,2024-02-20 22:47:57.937
DATA,AFE_FIFO[2],14680893,2024-02-20 22:47:57.937
DATA,AFE_FIFO[3],14680543,2024-02-20 22:47:57.938
DATA,AFE_FIFO[4],14680110,2024-02-20 22:47:57.939
DATA,AFE_FIFO[5],14679956,2024-02-20 22:47:57.939
DATA,AFE_FIFO[6],14680020,2024-02-20 22:47:57.940
DATA,AFE_FIFO[7],14679967,2024-02-20 22:47:57.940
DATA,AFE_FIFO[0],14680010,2024-02-20 22:47:58.257
DATA,AFE_FIFO[1],14680066,2024-02-20 22:47:58.258
DATA,AFE_FIFO[2],14679993,2024-02-20 22:47:58.259
DATA,AFE_FIFO[3],14680042,2024-02-20 22:47:58.259
DATA,AFE_FIFO[4],14679988,2024-02-20 22:47:58.260
DATA,AFE_FIFO[5],14680278,2024-02-20 22:47:58.260
DATA,AFE_FIFO[6],14680857,2024-02-20 22:47:58.261
DATA,AFE_FIFO[7],14680938,2024-02-20 22:47:58.261
DATA,AFE_FIFO[0],14680809,2024-02-20 22:47:58.577
DATA,AFE_FIFO[1],14680517,2024-02-20 22:47:58.578
DATA,AFE_FIFO[2],14680159,2024-02-20 22:47:58.578
DATA,AFE_FIFO[3],14679920,2024-02-20 22:47:58.579
DATA,AFE_FIFO[4],14680047,2024-02-20 22:47:58.579
DATA,AFE_FIFO[5],14680038,2024-02-20 22:47:58.580
DATA,AFE_FIFO[6],14680014,2024-02-20 22:47:58.580
