header,index,a_x,a_y,a_z,g_x,g_y,g_z,timestamp
DATA,129,33,-13,2072,-6,-3,10,15291
DATA,130,36,-14,2073,-6,-4,10,15916
DATA,131,38,-14,2082,-4,-3,10,16541
DATA,132,39,-14,2077,-6,-3,9,17166
DATA,133,37,-14,2074,-5,-4,10,17791
DATA,134,37,-14,2079,-5,-4,9,18416
DATA,135,36,-14,2080,-6,-5,10,19041
DATA,136,35,-13,2073,-5,-4,11,19666
DATA,137,38,-14,2075,-5,-3,10,20291
DATA,138,38,-15,2079,-5,-3,11,20916
DATA,139,35,-14,2074,-6,-3,11,21541
DATA,140,34,-16,2072,-6,-3,10,22166
DATA,141,36,-14,2082,-5,-4,12,22791
DATA,142,37,-16,2082,-6,-4,11,23416
DATA,143,35,-14,2074,-6,-4,9,24041
DATA,144,38,-16,2075,-5,-4,12,24666
DATA,145,37,-15,2082,-5,-4,11,25291
DATA,146,38,-16,2076,-6,-3,10,25916
DATA,147,36,-14,2073,-4,-4,10,26541
DATA,148,37,-12,2081,-5,-4,10,27166
DATA,149,37,-14,2079,-6,-4,11,27791
DATA,150,37,-17,2072,-6,-5,10,28416
DATA,151,38,-16,2079,-4,-4,9,29041
DATA,152,36,-14,2079,-5,-4,11,29666
DATA,153,37,-14,2074,-6,-3,9,30291
DATA,154,38,-14,2076,-5,-4,11,30916
DATA,155,38,-14,2081,-5,-3,11,31541
DATA,156,36,-15,2078,-6,-3,9,32166
DATA,157,35,-13,2072,-7,-4,9,32791
DATA,158,40,-15,2080,-5,-4,10,33416
DATA,159,38,-13,2080,-6,-4,9,34041
DATA,160,35,-15,2074,-6,-4,10,34666
DATA,161,36,-15,2074,-4,-5,11,35291
DATA,162,36,-13,2082,-5,-3,9,35916
DATA,163,35,-16,2074,-6,-2,12,36541
DATA,164,34,-15,2072,-5,-4,10,37166
DATA,165,36,-14,2079,-5,-3,11,37791
DATA,166,35,-11,2077,-6,-4,11,38416
DATA,167,37,-14,2070,-6,-3,9,39041
DATA,168,37,-15,2075,-5,-5,9,39666
DATA,169,38,-16,2080,-5,-5,10,40291
DATA,170,37,-14,2073,-6,-3,9,40916
DATA,171,35,-16,2074,-5,-3,9,41541
DATA,172,39,-13,2077,-5,-4,10,42166
DATA,173,38,-12,2077,-6,-3,10,42791
DATA,174,36,-13,2072,-5,-5,11,43416
DATA,175,36,-14,2077,-5,-4,10,44041
DATA,176,37,-14,2080,-7,-4,10,44666
DATA,177,38,-12,2073,-6,-3,10,45291
DATA,178,37,-14,2074,-5,-3,11,45916
DATA,179,39,-15,2080,-5,-4,9,46541
DATA,180,37,-14,2079,-6,-4,12,47166
DATA,181,35,-14,2072,-6,-4,11,47791
DATA,182,36,-16,2076,-4,-3,11,48416
DATA,183,38,-14,2079,-5,-4,10,49041
DATA,184,37,-16,2074,-5,-4,9,49666
DATA,185,36,-16,2074,-6,-4,10,50291
DATA,186,35,-15,2079,-5,-3,11,50916
DATA,187,37,-15,2075,-5,-3,10,51541
DATA,188,37,-14,2072,-5,-4,11,52166
DATA,189,37,-14,2078,-4,-5,10,52791
DATA,190,37,-14,2081,-4,-4,8,53416
DATA,191,34,-12,2074,-5,-4,11,54041
DATA,192,36,-14,2074,-6,-3,9,54666
DATA,193,37,-14,2083,-5,-4,10,55291
DATA,194,38,-17,2078,-5,-3,11,55916
DATA,195,38,-15,2071,-5,-2,9,56541
DATA,196,37,-14,2078,-5,-3,10,57166
DATA,197,35,-15,2080,-5,-4,12,57791
DATA,198,38,-15,2074,-6,-4,9,58416
DATA,199,37,-16,2076,-5,-4,10,59041
DATA,200,38,-16,2080,-5,-5,11,16719
DATA,201,36,-13,2078,-4,-3,10,17344
DATA,202,36,-14,2073,-6,-3,9,17969
DATA,203,37,-15,2079,-5,-4,10,18594
DATA,204,38,-13,2081,-6,-4,11,19219
DATA,205,35,-15,2075,-6,-3,11,19844
DATA,206,35,-17,2074,-5,-3,11,20469
DATA,207,38,-17,2082,-4,-4,9,21094
DATA,208,36,-15,2079,-6,-3,10,21719
DATA,209,36,-14,2072,-5,-3,11,22344
DATA,210,36,-14,2079,-6,-4,10,22969
DATA,211,36,-14,2084,-6,-4,11,23594
DATA,212,36,-14,2073,-5,-4,10,24219
DATA,213,35,-14,2075,-5,-3,11,24844
DATA,214,37,-16,2081,-5,-3,11,25469
DATA,215,38,-13,2076,-6,-3,10,26094
DATA,216,37,-16,2075,-6,-3,11,26719
DATA,217,37,-14,2080,-4,-4,12,27344
DATA,218,37,-14,2080,-6,-4,10,27969
DATA,219,34,-15,2073,-6,-4,11,28594
DATA,220,37,-15,2076,-5,-3,10,29219
DATA,221,39,-14,2080,-6,-3,10,29844
DATA,222,39,-12,2076,-6,-4,10,30469
DATA,223,37,-17,2074,-5,-3,11,31094
DATA,224,39,-14,2079,-4,-3,11,31719
DATA,225,36,-14,2082,-5,-3,11,32344
DATA,226,34,-15,2075,-5,-4,12,32969
DATA,227,35,-14,2075,-5,-4,11,33594
DATA,228,38,-13,2079,-5,-4,10,34219
DATA,229,38,-13,2075,-6,-4,10,34844
DATA,230,36,-15,2075,-4,-4,11,35469
