a_x,a_y,a_z,g_x,g_y,g_z
-87,-2006,-204,208,0,-3
-82,-2047,-99,383,43,40
-53,-2038,140,907,377,0
-67,-1633,189,866,0,-31
-65,-1514,387,886,46,54
-67,-1344,-245,1232,0,-2
-27,-1230,-173,765,-271,-41
-18,-979,-204,0,7,-18
-34,-829,1879,694,-81,-48
-30,-596,1908,749,-201,36
-16,0,1948,547,148,86
-4,-206,2082,137,-90,54
-19,-95,2030,-127,24,72
-90,174,2107,725,298,62
-66,-151,2068,921,-182,-14
40,360,2124,628,-165,-76
12,539,2079,719,-474,3
-4,790,0,678,86,0
60,1005,1804,386,-43,-21
-6,0,-245,470,325,-35
14,1184,-173,147,-56,-2
46,1296,-204,208,87,104
58,1288,1879,719,-140,-22
21,1430,1908,678,299,0
69,1538,1948,386,0,-21
69,1679,1956,470,17,-35
7,1750,1892,147,1,-2
12,1866,1755,208,-103,104
-33,1956,1808,383,321,89
-25,-1344,1722,907,162,22
-83,1956,1513,503,354,-26
-30,-1344,1422,913,44,-102
-44,360,0,326,-593,66
-248,556,1154,773,-43,-18
-63,790,1022,0,0,-136
-33,1022,906,882,-62,-71
-69,0,624,843,1,-136
-35,1184,493,135,-103,-71
-39,1296,226,794,321,-165
-62,1288,1154,210,162,18
-47,2000,-505,10,354,0
-45,2041,-551,-81,44,9
-42,2061,-527,46,-593,6
-77,2065,-614,75,-43,-146
-55,2066,-531,17,325,11
-78,1941,-358,-281,224,-58
-62,0,-382,-749,-49,16
-40,1953,-241,-420,-316,24
-56,1996,-129,-388,175,111
-85,1288,162,0,90,-14
-109,2092,218,-745,-322,-4
-24,2059,355,-420,84,128
-80,2091,599,-384,49,39
-68,2074,-382,0,-150,-66
-38,2127,832,-870,-82,-110
31,2052,-129,-1001,-224,0
-34,1977,162,-1023,7,-69
25,1946,225,-875,-282,143
75,1943,1045,-1405,-137,0
137,1797,1236,-1132,383,-69
28,1649,0,-1281,224,143
84,0,1525,-1406,-49,108
82,1011,1662,-1413,13,212
42,-150,1858,-1121,-282,16
58,-221,2016,-972,-310,24
66,-224,1976,-333,0,111
60,-223,2125,-190,-9,-14
73,-261,2136,-45,-15,-4
61,-224,2066,-6,23,-73
77,-253,2054,-972,-86,-34
109,-224,2057,-328,-104,74
121,-249,2088,-190,-7,-79
97,-199,2077,-40,-108,0
86,13,2040,-85,-470,-3
60,-106,2086,55,129,-6
25,61,0,159,67,-12
59,-6,1525,106,54,632
57,99,2214,-40,241,976
63,64,2134,183,-5,1266
55,0,2183,385,-306,1493
-99,-42,2131,181,235,1124
-36,-54,2050,206,129,734
56,-26,2072,661,252,1240
202,-92,2077,85,54,0
295,-85,2024,-388,248,390
119,-87,2084,26,-5,65
112,-79,2038,-66,178,1240
71,-67,2098,152,0,0
99,-84,2042,-27,188,390
92,-249,2103,77,-7,65
47,-26,2082,-43,174,210
44,-92,2175,61,-81,11
51,-85,2050,19,62,35
45,-87,2072,81,-47,40
-4,-79,2102,-43,85,-36
73,-80,2090,61,0,18
88,-84,2065,19,-47,-63
89,-249,2060,81,85,-161
45,-78,2075,183,3,-222
-48,-51,0,385,-185,-807
114,-51,2075,181,192,-1064
-50,-45,2020,206,0,-1455
-18,0,2065,661,-517,0
-126,-59,2109,85,140,-1064
-19,-69,2000,-5,-565,-1091
-63,-41,2078,-113,23,0
-71,0,2124,54,188,-1665
-99,-59,2145,4,78,-984
-116,-69,2074,0,-106,-1034
-89,-112,1975,214,103,-1105
50,-148,2010,171,-227,-968
-3,-74,2075,273,-523,-950
-46,-57,2020,341,295,-820
-45,-75,2065,-201,-523,-578
-35,-275,2109,-96,295,7
-42,0,2000,-5,84,39
-36,-38,2078,-102,-104,-23
-95,71,2124,54,5,-7
-127,84,2145,-53,12,-1034
-43,-6,2115,0,-40,-1105
-12,-25,2038,27,-52,-968
-32,-57,2000,0,188,-950
-8,-75,2078,27,21,37
46,-275,2124,-58,0,-578
129,0,2145,15,148,7
-82,-38,2115,414,-80,39
118,71,2038,238,-104,-23
-8,123,2045,12,5,-7
-121,18,2085,777,-603,-185
-152,-4,1967,-241,103,7
-238,0,2064,-43,403,39
-293,-16,0,-31,532,-23
-350,6,2000,-205,266,-7
-497,-82,2111,5,0,-185
-303,-76,1949,194,625,-79
-319,2,2167,60,-48,0
-233,0,2167,0,519,48
-141,81,2116,-345,-206,-79
-198,6,1935,476,-98,-574
-266,-82,2171,439,0,-266
-253,-76,2107,439,625,-80
-157,46,2080,-59,-48,-142
-211,-273,2157,198,519,-744
-300,-95,2281,164,-206,-1209
-486,-34,2258,492,-98,-1015
-191,-107,2217,-326,-304,-997
-165,-41,2244,193,-631,0
-121,71,0,366,-178,48
-148,-1,2135,-205,417,-79
-179,9,2128,21,39,-574
-190,130,2042,194,74,-266
-174,199,1960,115,26,-909
-226,167,2110,0,-133,-616
-208,71,2037,250,-160,-323
-172,5,2087,409,0,-19
-158,9,2182,250,25,-997
-182,-69,2005,409,-37,0
-181,0,2131,312,188,48
-190,88,2005,122,43,-111
-128,145,2131,0,-49,-574
-77,188,2059,250,-3,-266
47,43,2074,409,-35,-67
180,230,2093,312,-93,-99
239,160,2029,84,-23,-80
17,198,0,-5,343,34
125,198,2146,16,609,103
93,177,2129,71,-165,423
146,171,2098,-10,-87,1066
159,164,1896,-10,-385,1396
221,213,2025,87,-190,-67
278,194,2081,-93,-251,-99
257,193,2213,-282,0,-80
47,201,1896,-123,277,34
206,0,2111,584,-248,1282
107,12,1990,300,229,423
88,79,1983,773,353,1011
51,128,2024,-432,88,427
36,-79,1987,-55,289,300
-7,-56,2025,-191,-3,803
-14,-43,2081,202,140,0
-2,12,2213,98,609,623
-47,79,1896,-73,609,221
-49,128,2025,181,-165,-24
-42,-79,2081,24,-87,3
-45,-56,2213,0,-369,49
-29,-43,1896,-29,140,-17
-32,-171,2111,33,-235,-9
-38,-181,1990,-56,0,-62
-23,-104,1983,57,277,-28
-42,-160,2037,-45,-15,-25
-47,-178,2141,86,81,-18
-50,-175,2017,73,277,-13
-41,-98,0,73,-15,-17
-4,-78,2119,-55,81,-9
-20,0,2100,-191,52,-62
12,0,2058,202,-56,-28
16,-137,2079,98,-35,-25
45,-142,2065,-57,11,-18
56,-127,2012,181,44,-13
67,-84,2042,-22,93,-14
57,-99,2100,0,-73,2
92,-100,2058,181,-47,0
105,-51,2079,-19,0,-3
-175,-56,2065,0,-13,-250
-324,-76,2012,-243,-46,6
-15,-73,2042,15,-104,-9
56,-67,2034,-175,8,-111
249,-74,2076,646,76,-2250
76,-102,2060,275,99,-18
486,-98,2055,249,7,-13
372,0,2092,567,-209,-14
410,5,2060,-42,-123,-402
539,84,2020,-243,0,0
487,103,2275,-991,-28,-381
593,-81,0,-233,320,-216
583,100,2102,-181,-137,-429
409,-176,1857,253,326,-44
416,-301,1925,275,76,-291
199,-199,2025,249,99,-1046
270,-195,2152,567,7,-526
178,-88,0,-42,-209,-2250
125,-67,1948,-243,1379,-18
152,-107,2235,-991,0,-13
215,-235,1939,-233,-237,-223
150,-149,2013,-172,321,-402
60,-80,2119,253,336,0
-136,-191,2072,191,735,-381
-588,-186,2162,0,-2,-216
-639,-179,2238,-257,-1,-242
-615,-211,2274,15,7,55
-1025,-114,1991,50,1226,-349
-1536,-161,1248,350,112,-6
-1566,-260,1441,8,169,-14
-1605,-412,1442,-73,141,-20
-1561,-194,2025,-21,64,-16
-1517,-239,2168,-46,-2,42
-1598,-183,0,-51,-1,130
-1572,0,1288,-30,7,10
-1549,-277,1246,-38,1226,0
-1552,-192,1304,42,1901,-137
-1578,-277,1345,161,1572,-216
-1565,-192,1298,53,1617,-242
-1542,-230,1271,0,339,55
-1352,-191,1268,58,1959,-349
-1077,-186,1323,46,800,-95
-401,-217,1291,47,-106,18
353,-185,1355,28,-29,-8
577,-224,1298,1,-96,-32
998,-206,1271,1,-87,-9
856,-162,1268,-19,-53,-20
904,-160,1323,3,-16,-57
927,-127,1291,20,-102,-27
888,-247,1355,1,-364,-13
928,-307,1327,-9,-1761,0
883,0,1973,-38,351,-42
847,-162,2132,58,1959,-24
892,-39,1573,-32,812,-8
854,-14,1291,-49,0,-439
852,-26,1355,0,-3330,99
861,-7,1327,58,-1936,340
589,0,1979,377,-1279,214
-138,-53,2132,-39,-493,2
-1011,-72,1579,64,-20,-241
-1481,-67,0,306,150,-51
-1631,72,1802,56,22,-99
-1593,140,1854,-46,90,-19
-1628,98,1897,-154,1959,20
-1684,-91,1901,47,823,9
-1658,-110,1923,-31,0,0
-1621,-45,1914,-25,761,3
-1590,72,1947,21,2786,149
-1571,-92,2119,-56,3782,-48
-1571,98,2281,7,2492,27
-1589,-91,1811,18,1,-38
-1369,-72,1857,6,-276,-73
-1270,-95,1197,0,-1133,-167
-1361,-78,1289,-154,-87,-154
181,-78,1288,47,-276,67
193,-14,1331,-31,-1133,-9
625,-121,1207,-25,-87,-15
974,-103,1278,21,-161,-43
1059,0,1947,-56,-820,20
1072,-235,2119,-18,838,9
1071,-165,2281,-169,0,0
1160,-16,1811,-243,761,3
1117,-78,1857,0,2786,149
