V_set,I_in,P_in,V_out,Load,P_out
0.25,0.03139249399999999,0.007848123499999998,0.9335930000000001,9999,8.716830579547957e-05
0.35,0.047718673,0.01670153555,1.216092,3999,0.0003698123912138034
0.45,0.06989106599999999,0.03145097969999999,1.358863,3999,0.00046174259884196046
0.55,0.080550162,0.0443025891,1.502409,294,0.007677662596193879
0.65,0.097257548,0.0632174062,1.500697,214,0.010523791989761682
